22868778
/m/0640cxk
/m/0640cxk
Jennifer Rowe
2002
{"/m/01hmnh": "Fantasy"}
a 2
after 1
and 6
are 1
barda 2
been 1
belt 1
broken 1
but 1
creatures 1
dangerous 1
defeat 1
defeated 1
deltora 3
deltorans 1
domain 1
driven 1
embark 1
encounter 1
ended 1
enslaved 1
evil 1
fear 1
fears 1
finally 1
find 1
finds 1
first 1
for 1
giant 1
has 1
have 1
he 1
heroes 2
him 1
his 1
in 2
jasmine 2
land 1
lief 2
lord 3
magic 1
monsters 1
must 1
mysterious 1
of 7
on 1
only 1
out 1
piece 1
pipe 2
pirran 1
quest 2
rescue 1
shadow 3
shadowlands 1
sorcery 1
squid 1
still 1
terrifying 1
the 13
them 1
there 1
they 3
thousands 1
three 1
to 1
tyranny 1
unlikely 1
weapon 1
whom 1
