3753135
/m/09z4fp
/m/09z4fp
Doris Lessing
1982
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
8 10
a 12
adapt 1
advance 1
after 2
age 1
agent 1
all 3
amongst 1
an 1
and 23
are 1
around 1
arrives 1
as 4
assures 1
at 2
available 1
back 1
barrier 1
becomes 2
been 2
begins 1
beings 1
benevolent 1
bodies 1
book 1
breaks 1
build 1
but 4
by 3
called 1
can 1
canopean 3
canopus 10
certain 1
change 1
climate 3
cold 1
colonised 1
comfortably 1
complete 1
completely 1
conditions 1
conflict 1
consciousness 1
construction 1
cope 1
created 1
day 1
demise 1
departs 1
destroyed 1
devastating 1
development 1
different 1
disaster 1
disciplines 1
do 1
does 2
drop 1
each 1
empire 1
endure 1
erstwhile 1
everyone 1
exact 1
experience 1
face 1
faced 1
faith 1
fills 1
finished 1
first 2
food 1
for 4
forced 1
form 1
four 1
freeze 1
from 1
galactic 1
girth 1
gives 1
glacier 1
glaciers 4
grow 1
guards 1
guidance 1
hardships 1
has 6
have 1
he 2
head 1
help 1
holds 1
home 1
hope 1
however 1
huge 1
hunger 1
ice 2
in 7
inevitable 1
informs 1
inhabitants 3
instructs 2
interstellar 1
into 1
introduced 1
is 4
it 3
its 1
johor 3
leaders 1
leave 1
level 1
lifestyles 1
live 1
longer 1
loss 1
main 1
memories 1
merge 1
much 1
new 3
news 1
no 1
north 3
not 1
now 1
of 10
on 2
one 1
only 1
onto 1
originating 1
other 1
out 1
over 2
overrunning 1
peace 1
peaceful 2
people 2
perish 1
physical 1
place 2
planet 13
planets 1
pole 1
populated 1
population 1
prosperous 1
reach 1
reached 1
reaches 1
realignments 1
relocate 1
remain 1
remains 1
renamed 1
representative 2
representatives 2
rescue 1
resettlement 1
resolute 1
right 1
rise 1
rohanda 3
scarce 1
senior 1
series 1
settlements 2
several 1
shikasta 3
single 1
skilled 1
slowly 1
small 1
snow 1
soon 2
south 3
spacelift 1
species 2
specifications 1
start 2
starvation 1
still 1
stock 1
stricken 1
struck 1
subject 1
succumb 1
taken 1
takes 1
tells 1
temperate 1
temperatures 1
temporary 1
tends 1
that 8
the 41
their 6
them 5
themselves 1
then 1
they 3
this 3
time 2
to 16
towards 1
travels 1
try 1
under 1
unfamiliar 1
unfortunate 1
vegetation 1
villagers 2
wall 7
warm 1
was 2
watching 1
way 1
what 2
when 3
where 1
which 1
while 1
will 3
with 8
world 3
worse 1
years 1
