20675558
/m/051yx6y
/m/051yx6y
Bob Ong
2003
{"/m/09kqc": "Humour"}
a 2
also 2
an 2
and 6
animal 1
animals 1
annoying 1
are 2
as 1
aso 1
banana 3
behind 1
being 1
better 1
but 4
buwaya 1
by 3
course 1
eaten 1
eventually 1
ever 1
evil 1
father 1
fight 1
find 1
for 1
forest 5
friends 2
gang 2
get 1
got 2
happened 1
harmed 1
has 2
he 2
heart 3
help 2
his 2
in 2
is 1
it 2
killing 1
knows 1
kuneho 1
langgam 1
leader 1
left 1
leon 1
live 1
made 1
monkey 1
new 1
no 1
not 1
of 4
one 1
pagong 1
place 1
planning 1
save 1
saved 1
so 1
squashed 1
still 1
the 10
they 1
threatened 1
to 3
tong 7
were 1
what 1
when 2
whole 1
will 1
wise 1
with 1
without 1
won 1
