22300328
/m/05sxns8
/m/05sxns8
Randa Abdel-Fattah
2008
{"/m/0dwly": "Children's literature"}
13yearold 1
a 5
always 1
ancestral 1
and 3
as 2
attract 1
bank 1
believes 1
beloved 1
best 1
book 1
but 1
checkpoints 1
complete 1
curfewfree 1
curfews 1
day 1
divides 1
elimination 1
factor 1
few 1
football 1
friend 1
from 1
grandmother 1
handful 1
have 1
hayaat 3
her 2
home 1
however 1
impenetrable 1
in 3
interested 1
is 6
it 1
jerusalem 2
journey 1
kilometres 1
latest 1
life 1
lifetime 1
long 1
luck 1
mainly 1
manages 1
may 1
mission 1
of 3
on 3
only 2
permit 1
point 1
problem 1
samy 2
save 1
she 1
side 1
sitti 1
soil 1
system 1
take 1
that 1
the 8
their 2
this 1
to 4
travel 1
trouble 1
view 1
wall 1
well 1
west 1
while 1
who 2
will 1
x 1
yet 1
zeynab 1
