1234481
/m/04ksm5
/m/04ksm5
Harry Turtledove
2005-08
11th 1
142 1
143 1
a 26
able 1
abner 1
across 2
advance 1
advancement 1
after 1
against 4
aided 1
aims 1
air 3
alarming 1
all 1
allows 1
also 2
although 1
an 6
analogues 1
and 25
andersonville 1
another 2
apparent 1
approaching 1
are 5
armor 1
armored 1
army 4
around 1
as 8
assault 1
at 2
atlantic 1
attack 1
attempt 1
augusta 1
band 2
battle 3
bedford 1
beginning 1
begins 2
black 1
blacks 1
bleak 1
blows 1
book 1
both 1
breakout 1
breakthrough 1
brigadier 1
bulk 1
but 2
by 7
camp 5
capable 1
capture 2
captured 1
car 1
carrier 2
carriers 1
carsten 1
carter 1
cattle 1
characters 1
charge 1
civil 1
claim 1
clarence 1
climactic 1
coalscuttle 1
codenamed 1
collapses 1
coming 1
command 2
commands 1
communist 1
concentrate 1
conditions 1
conducting 1
confederate 2
confederates 1
confined 1
consider 2
cover 1
csa 3
dangerous 1
daniel 1
de 1
deep 1
defense 1
descending 1
descent 1
desperately 1
destroyer 2
destruction 1
determination 2
develop 2
did 1
district 1
dowling 1
down 1
drives 1
due 1
during 3
early 1
eastern 1
efficient 1
elsewhere 1
engagement 1
engaging 1
enjoys 1
enos 1
entire 1
enveloping 1
equipped 1
escape 2
escaped 1
escapes 1
escort 2
essentially 1
events 1
eventually 1
ever 1
expose 1
extinguish 1
face 1
facing 1
fails 1
fantasy 1
far 1
featherston 3
february 1
fences 1
fierce 1
fight 1
fighter 1
final 1
finds 2
flank 1
fleet 1
for 3
forces 4
former 1
forrest 1
freedom 2
from 7
front 4
frustrated 1
future 1
general 5
generals 1
george 3
georgia 3
german 1
getting 1
ghettoized 1
gives 1
great 1
ground 1
growing 1
guarding 1
guerre 1
guerrilla 1
had 1
has 1
hawaii 1
he 7
heading 1
heartland 1
held 1
here 1
hierarchy 1
high 1
highly 1
him 2
himself 2
his 4
history 2
hold 1
holocaust 1
home 1
horrors 1
however 2
idea 1
ii 2
iii 1
implement 1
improved 1
in 15
incapacity 1
increasing 1
industrial 1
infamous 1
insurgents 1
into 6
invading 1
invasion 2
involves 2
irving 1
is 11
islandhopping 1
islands 3
it 3
its 3
jackson 1
jake 1
japan 1
japanese 4
japaneseheld 1
jeff 1
jimmy 1
join 1
joining 1
joins 1
jonathan 1
jonathon 1
kills 1
lack 1
lanes 1
lays 1
lead 1
leader 1
leads 2
leave 1
led 1
litany 1
local 1
location 1
longstanding 1
lt 1
lubbock 1
macarthur 1
machinery 1
madness 1
main 1
manage 2
manages 1
manhattan 1
maniacal 1
meanwhile 1
mexican 1
midway 4
mississippi 1
more 1
morrell 2
moss 3
most 1
moving 1
nathan 1
naval 1
near 2
nearly 1
negro 5
nevertheless 1
new 1
no 1
nom 1
northern 1
november 1
now 3
nuclear 1
oahu 1
occupied 1
of 26
officer 1
ohio 5
on 2
only 1
open 1
operation 1
operations 1
opposition 1
ordered 1
orders 1
others 1
our 1
out 1
outskirts 1
overthrow 1
pacific 2
party 2
patrolling 1
patton 4
pennsylvania 1
philippines 1
pilot 1
pinkard 2
pittsburgh 5
placed 1
plains 1
planned 1
plot 1
poorly 1
population 2
possession 1
potter 1
pow 4
power 1
preventing 1
prevents 1
problem 1
project 1
promised 1
promoted 1
protecting 1
push 3
quickly 1
raid 1
raiding 1
raises 1
rally 1
rapid 1
rather 1
reach 1
rebel 1
rebels 1
recapturing 1
recognized 1
reinforce 1
remembrance 1
remove 1
renewed 1
reprisals 1
required 1
resistance 1
resources 1
resupply 1
russia 1
salient 1
sam 1
same 1
sandwich 2
scipio 1
sea 2
seaborne 1
sequence 1
ship 1
sides 1
sideshow 1
similar 1
since 1
sinks 1
sixth 1
skirt 1
slave 1
slightly 1
small 1
so 1
solution 1
spain 1
spartacus 1
special 1
spends 2
stalingrad 2
stalled 1
still 1
storm 1
strategic 1
street 2
suggests 1
summer 1
sunk 2
suspicions 1
swallow 1
swallowed 1
tactics 1
take 1
terror 1
texas 2
than 2
that 3
the 53
them 1
there 1
they 1
this 3
threat 1
threatened 1
threatening 1
through 1
tide 1
time 2
timeline 1
title 1
to 29
tolerable 1
too 1
took 1
tornado 1
towards 1
townspeople 1
transferred 1
trapped 1
traps 1
treated 1
trickle 1
troops 2
trying 1
turn 1
two 1
under 3
unknown 1
unpleasant 1
unrealistic 1
up 4
us 7
uss 1
version 1
virginia 3
war 6
way 1
weapon 1
west 1
western 1
when 2
where 1
which 3
who 1
whose 1
with 3
working 1
world 3
wrested 1
young 1
