11829608
/m/02rtwmj
/m/02rtwmj
Jane Yolen
1992
320000 1
a 15
about 3
actually 1
after 4
airport 1
alive 1
all 3
almost 2
along 1
alternate 1
alternative 1
among 1
an 4
and 20
another 1
are 3
around 1
arrive 1
as 2
at 2
away 1
based 1
be 1
beauty 1
became 2
becca 3
bedtime 2
been 1
begins 1
behind 1
belief 1
believe 1
berlin 1
between 1
bodies 1
book 3
breathing 1
briar 1
brought 2
by 9
called 2
camp 2
camps 1
carrying 1
castle 3
chelmno 1
chemno 3
children 1
city 1
conclusion 1
consults 1
day 1
dealing 1
death 3
decides 1
destination 1
different 1
discovered 1
discovers 2
divided 1
drive 1
due 1
dumped 2
during 2
elderly 1
ending 2
escaped 1
ethnicity 1
eventually 1
ever 2
evil 1
executed 1
exhaust 2
experiences 1
extermination 2
facts 1
faintly 1
fairy 2
fairytale 1
familiar 1
family 2
fighting 1
final 1
find 1
flashbacks 1
for 3
forest 1
form 1
friend 1
fugitive 1
funnelled 1
gassed 1
gassing 2
gemma 5
german 1
germans 1
germany 1
get 1
good 1
granddaughters 2
grandmother 4
grave 2
group 1
had 1
hair 1
handsome 1
happily 1
happy 1
have 1
he 8
heard 1
her 13
hid 1
him 2
his 4
historical 1
hold 1
holocaust 2
home 2
homosexuality 1
hundreds 1
identity 1
in 15
into 5
is 13
it 2
jew 1
jewish 2
joined 1
josef 3
journalist 1
killed 2
kiss 1
kisses 1
ksiniczka 1
kulmhof 1
later 2
leads 1
life 3
link 1
living 1
mainly 2
man 1
many 1
marriage 1
married 1
mass 1
massachusetts 1
meaning 1
means 1
meeting 1
met 1
method 1
mind 1
mouthtomouth 1
name 1
nazis 2
never 1
newspaper 1
notices 1
novel 1
numerous 1
of 18
off 1
only 1
other 1
our 1
out 1
outside 1
packed 1
part 2
partisans 3
parts 1
passenger 1
people 6
period 1
persecuted 1
pick 1
poland 3
polish 3
potocki 1
pregnant 1
present 1
presentday 1
prince 1
princess 2
rather 1
reality 1
rebecca 1
red 1
refashioning 1
referred 1
refers 1
rendered 1
rescue 1
resuscitation 1
returning 1
returns 1
revived 1
revives 1
rose 1
safely 1
says 1
section 2
sees 1
sent 1
set 1
sets 1
she 10
shortly 1
simply 1
sleeping 1
some 1
somewhere 1
soul 1
stan 2
states 1
stewart 1
still 1
stories 1
story 7
survivor 1
tale 2
target 1
tell 1
tells 4
that 4
the 53
their 3
them 4
then 4
there 2
these 1
this 3
three 2
through 1
time 4
times 2
to 21
told 4
torture 1
trauma 1
truck 1
trucks 4
two 1
unconscious 1
uncovers 1
underground 1
united 1
up 1
us 1
via 1
victims 1
visit 1
was 5
well 1
were 2
what 1
when 2
where 2
which 4
who 4
witch 1
with 7
witnesses 1
woman 3
works 1
youngest 1
