17300248
/m/043rqtp
/m/043rqtp
Honoré de Balzac
1842
{"/m/02xlf": "Fiction"}
a 14
about 1
action 2
after 5
afterwards 2
against 1
agathe 3
algeria 1
also 1
an 4
and 25
antigovernment 1
are 3
armies 1
army 3
around 1
arranged 1
arrested 2
artist 3
artistic 1
as 2
attempt 1
authorities 1
autun 1
be 2
become 1
becomes 4
been 1
before 1
being 1
between 1
blame 1
boarder 1
book 1
born 1
both 1
bourbon 1
brambourg 1
brazier 1
bridau 2
brother 3
business 1
but 5
by 4
call 1
cart 1
challenges 1
champ 1
change 1
claim 1
cleared 1
coerces 1
comte 1
connections 1
conspiracy 1
control 2
convicted 1
cooperates 1
costs 1
courageous 1
cover 1
dasile 1
daughter 1
de 1
death 2
deaths 1
decides 1
dedicated 1
descoings 3
destroying 1
dies 2
discovers 1
divided 1
doctor 1
does 1
drain 1
drinker 1
drinking 1
due 1
duel 2
elder 2
eldest 1
end 1
especially 1
estranged 1
explicit 1
exsoldier 1
failed 1
fails 1
family 1
fario 2
father 2
favourite 1
financial 1
five 1
flore 4
for 5
forcing 1
fortune 1
fortunes 1
france 1
frequently 1
friends 2
from 3
gambler 1
gambling 1
gets 2
gilet 1
give 2
grain 1
grandsons 1
group 1
half 1
hard 1
has 2
have 1
he 12
heavy 1
help 1
her 4
him 1
himself 1
hints 1
his 19
hochons 2
household 1
however 1
idleness 1
illegitimate 1
immigrant 1
in 16
inheritance 1
inherits 1
into 1
involvement 1
is 15
issoudun 5
it 1
jeanjacques 8
jokes 1
joseph 11
killed 1
kills 1
knights 1
later 2
lawyer 1
leads 1
leaving 1
legal 1
lifestyle 1
light 1
lives 1
location 1
loyal 1
loyalty 1
luck 1
madame 2
man 2
marries 3
maternal 1
max 10
means 1
meantime 1
meanwhile 1
men 1
money 2
monsieur 1
more 1
mother 8
named 3
napoleon 2
night 1
not 4
novel 1
now 3
obtained 1
of 13
old 1
on 2
one 1
only 2
order 1
out 2
paintings 2
paris 3
part 2
persuade 1
phillipe 15
play 1
plotting 1
police 1
practical 1
raised 1
realising 1
recognises 1
reconcile 1
recovering 1
rejoins 1
relatively 1
relatives 1
released 1
resigns 1
restoration 1
return 1
returning 2
rich 1
rouget 2
ruining 1
sent 1
sentence 1
servant 1
settlement 1
she 1
shown 1
so 1
soldier 2
some 2
son 2
sons 1
soon 2
spanish 1
speculation 1
stabbing 1
stabs 1
stay 1
stealing 1
successful 1
supervision 1
suspected 1
suspects 1
swords 1
take 2
takes 2
tells 1
texas 1
that 5
the 29
their 4
them 3
themselves 1
then 2
there 1
therefore 1
these 2
they 2
through 1
title 1
to 21
together 1
too 1
took 1
town 1
travel 1
true 1
try 1
turn 1
two 2
understand 1
unemployed 1
unsuccessful 1
value 2
vocation 1
walking 1
war 1
was 1
when 1
where 1
whilst 1
who 4
wife 1
with 4
work 1
worse 1
wrongly 1
years 1
young 2
