12149300
/m/02vrd1w
/m/02vrd1w
Craig Clevenger
2002-09
{"/m/05hgj": "Novel"}
a 3
addiction 1
and 4
as 2
authorities 1
be 2
but 1
by 1
clients 1
continually 1
costly 1
danger 1
dolan 1
drug 1
escape 1
evaluator 1
face 1
fooled 1
for 1
forger 1
from 1
he 1
health 1
himself 3
his 3
hospital 1
impending 1
in 3
incarceration 1
institutionalization 1
is 2
john 1
knows 1
la 1
legal 1
life 1
lose 1
mathematics 1
may 1
mental 1
much 1
name 1
not 1
of 2
only 1
out 1
patience 1
person 1
proclivity 1
real 1
reinvents 1
running 1
save 1
story 1
talented 1
the 6
to 3
turns 1
underworld 1
vincent 2
who 1
with 1
woman 1
young 1
