3603873
/m/09pblf
/m/09pblf
Scott Ciencin
2002-04
a 8
abusive 1
after 1
afterwards 1
against 1
all 1
always 1
an 1
and 3
are 2
arianna 7
as 1
at 2
aurek 1
away 1
become 2
becomes 1
befriend 1
befriended 1
begins 1
being 1
blonde 1
buffy 6
but 1
called 1
can 1
catch 1
clear 1
coming 1
convince 1
couple 1
daughter 1
dawn 1
decision 1
demon 1
demons 2
destruction 1
dimensions 1
end 1
exceptionally 1
faster 1
fearing 1
finally 1
find 1
for 2
friends 1
from 1
gang 1
gangly 1
girl 3
has 5
he 1
her 7
heroine 1
his 1
humanity 1
humans 1
in 1
into 1
is 3
it 1
just 2
keep 1
kill 1
locates 1
longed 1
make 1
mass 1
meanwhile 2
mother 1
named 1
no 1
not 1
of 1
off 1
on 2
or 1
out 1
powers 1
pull 1
ran 1
reaver 1
runin 1
runs 1
school 1
searching 1
she 2
starts 1
store 1
strong 1
talk 1
than 1
that 4
the 5
then 1
to 10
tries 3
used 1
watches 1
where 1
whether 1
while 1
who 1
will 1
with 1
