2415941
/m/07bjm9
/m/07bjm9
William Prochnau
1983
15 2
25 1
3 1
3035 1
7 1
7hour 1
a 28
abandons 2
aboard 2
accept 1
accepts 1
accordance 1
act 1
adviser 1
afb 1
after 1
against 2
aimed 1
air 4
alice 9
alive 1
along 1
america 5
american 2
an 2
and 32
andrews 2
angeles 1
another 1
appoints 1
are 2
around 2
arrive 1
arsenal 1
as 12
assignment 1
at 3
attache 1
attempt 1
attempting 1
attempts 3
authentic 2
authenticator 1
authority 1
away 1
b52 1
base 2
bases 1
baton 3
be 9
bear 1
been 1
before 4
being 1
believes 2
believing 3
blind 1
boeing 1
bomber 4
bombers 5
book 1
both 3
breaking 1
briefing 1
briefly 1
broken 1
buildup 1
bunker 1
bunkers 1
bureau 1
by 7
call 2
capability 1
casualties 1
casualty 1
catch 1
causes 1
ceasefire 1
center 1
centers 1
certainly 1
cessation 1
chagrin 1
chase 1
chevy 1
chinese 2
choices 1
cities 2
city 2
civilian 1
cockpit 1
codename 1
codes 1
cold 1
collapse 1
colonel 1
colorado 1
comes 1
command 6
commanderinchief 2
compromise 1
condor 13
conflict 1
conflicts 1
contact 3
contacts 1
conversation 1
convinces 1
count 1
counterforce 1
counterpart 1
countries 1
cowardly 1
crack 1
crash 3
create 1
crew 2
crippling 1
crushing 1
damage 2
dc 2
dead 1
deaths 1
decapitating 1
decides 1
declared 1
declares 1
deserter 1
designated 1
destroy 2
destroyed 3
detonates 2
directed 1
discovered 1
disorder 1
doctrine 1
doing 1
doubts 1
dover 1
due 1
during 7
e4b 3
earns 1
east 1
economy 1
elapse 1
emerge 2
emergency 1
en 1
end 1
endure 1
engaged 1
enormous 1
europe 1
evacuated 1
events 1
everyone 1
exchange 2
expertise 1
explores 1
extent 1
falls 1
federal 1
fema 1
first 3
flying 1
focuses 1
for 1
force 4
from 3
full 2
fullscale 1
further 1
gen 1
given 4
gives 1
glass 4
global 1
government 1
grand 1
had 1
harpoon 7
has 4
hasty 1
have 5
having 1
hawkish 1
he 7
helicopter 1
higher 1
him 3
himself 1
his 11
hoping 2
hostilities 1
hours 2
house 1
however 3
icarus 4
icbm 1
icbms 2
identity 1
if 1
immediately 1
imminent 1
imposter 1
in 21
incompetent 1
india 1
informed 1
informs 1
instead 1
intact 1
intel 1
intercept 1
intercepts 2
interior 1
into 3
investigation 1
ire 1
is 24
israel 1
it 4
its 3
just 1
killing 2
kind 3
knowing 2
known 1
lands 1
launch 4
launched 2
launching 1
leadership 2
learning 1
learns 2
leaves 1
leaving 3
left 1
librarian 2
limited 1
locating 1
lone 1
looking 4
los 1
losing 1
louisiana 1
make 2
makes 1
man 1
manages 1
manned 1
marine 1
maryland 2
massive 2
massively 1
men 1
mentioned 1
middle 1
military 4
million 3
minutes 2
missile 3
mission 4
mobile 1
most 1
much 2
must 2
name 1
nation 1
navy 1
nearby 1
nebraska 1
negotiates 1
neutral 1
new 3
no 1
not 3
now 2
nuclear 5
of 27
off 2
offers 1
officer 1
olney 1
omaha 2
on 6
onboard 1
one 5
only 1
or 1
order 6
orders 5
orleans 1
otherwise 1
out 1
outcome 1
outside 1
outskirts 1
over 1
overshoots 1
own 1
pakistan 1
paraplegic 1
passed 1
payload 1
people 1
phoenix 1
plan 3
plane 2
point 1
polar 1
political 1
population 1
power 1
powerless 1
premier 3
president 21
press 1
pressure 1
prevent 1
psychological 1
quarters 1
radio 1
raleigh 1
realize 1
reasons 1
receives 1
refuses 1
refutes 1
relatively 1
relieves 2
relinquish 1
relinquishing 1
reluctantly 1
remained 1
remaining 4
renning 2
respond 3
responds 2
response 1
rest 1
result 3
retaliate 1
retaliatory 1
returned 1
revealed 1
rioting 1
rouge 3
roughly 1
route 1
ruse 1
russia 1
russian 1
sac 1
sacrifice 1
seattle 1
second 2
secretary 2
seeing 3
sending 1
several 2
shortwave 1
sides 1
sign 1
silos 1
slbms 1
so 3
social 1
soviet 14
soviets 5
speaking 2
springs 1
states 9
stop 1
stopped 1
storm 1
strangled 1
strategic 1
stratofortress 1
stress 1
strike 4
strikes 1
struck 1
stupor 1
submarines 2
subplot 1
successor 3
suddenly 1
suffered 1
suffering 1
survived 1
swamplands 1
sworn 1
taken 2
target 1
teleprinter 2
that 17
the 117
their 5
them 1
then 4
there 3
thereby 1
these 1
they 1
this 3
three 1
through 2
thus 2
time 1
to 45
tour 1
treasonous 1
treaty 1
truce 1
turn 3
turns 1
unanswered 1
under 1
union 6
united 7
up 1
urged 1
urges 1
urging 2
use 1
vicinity 1
waning 1
war 6
was 1
washington 2
wave 1
way 1
weapon 1
when 1
which 4
whilst 1
white 1
who 6
whose 1
will 6
window 1
with 8
work 1
would 2
years 1
