21322333
/m/05f6kr8
/m/05f6kr8
Dav Pilkey
1993
{"/m/0dwly": "Children's literature"}
about 1
annual 1
aroma 1
as 1
awakens 1
barbecue 2
before 1
begin 1
big 1
breath 1
but 1
can 1
cookoff 1
creature 1
dog 1
doggy 1
dogzilla 1
dreaded 1
fills 1
first 1
for 2
frightening 1
fun 1
get 1
her 1
horrible 1
irresistible 1
is 1
its 2
just 1
known 1
late 1
lives 1
most 1
mousekind 1
mousopolis 1
mousopoliss 1
must 1
of 3
residents 1
rid 1
run 1
sauce 1
stinky 1
streets 1
that 1
the 6
their 1
they 1
time 1
to 2
too 1
when 1
