983717
/m/03wlv4
/m/03wlv4
Rudolfo Anaya
1972
a 10
able 1
about 3
accept 1
adult 1
adventure 2
after 1
against 1
age 1
aged 1
all 1
american 1
an 2
anaya 2
and 30
another 1
answer 1
antonio 5
are 2
as 6
assists 1
at 3
back 1
backgrounds 1
basic 1
be 1
become 1
becomes 1
begins 1
being 1
beliefs 1
between 5
bildungsroman 1
birth 2
both 2
bring 2
brother 1
brothers 1
but 1
by 1
california 1
can 1
cannot 1
carp 2
catholic 3
catholicism 2
challenges 1
chapter 1
child 1
childhood 1
choose 1
church 2
cico 1
circumscribed 1
closer 1
come 2
community 1
complexity 1
concentrated 1
conflict 2
control 1
course 1
crisis 1
cultural 1
daughters 1
day 1
death 1
deaths 1
descendents 1
destiny 4
differences 1
discovers 2
discovery 1
disillusioned 1
does 1
dream 4
dreama 1
each 1
early 1
embark 1
embraces 1
end 2
ends 1
establishes 1
evil 5
existential 1
experiences 1
faith 2
familial 2
family 2
farmers 1
father 5
feels 1
female 1
first 1
flashback 1
for 4
foregone 1
form 1
free 1
friends 1
from 2
future 1
gabriel 1
god 3
golden 2
good 2
grips 1
grounded 1
growing 1
guadalupe 1
guarding 1
guidance 1
harkens 1
harrowing 1
has 2
have 1
he 8
healing 1
heir 1
her 6
heritage 2
herselfhis 1
highly 1
him 2
himself 2
his 29
homestead 1
identity 3
ii 1
illness 1
in 10
indigenous 1
instead 1
intercedes 1
invite 1
is 12
just 1
keeps 1
kind 1
knowing 1
knowledge 2
land 1
landscape 1
last 1
lawlessness 1
learning 1
learns 1
legacy 1
life 3
live 1
llano 2
llanos 1
lucas 1
luna 1
lunas 3
made 1
magic 1
major 1
maria 1
mary 1
may 1
member 1
memories 1
mexico 1
midwife 1
mixed 2
moon 1
mother 3
move 1
moving 1
mrez 3
mrezand 1
must 1
myth 2
native 1
nature 1
neutralize 1
new 4
newborn 1
not 1
novel 5
of 36
older 2
on 8
one 3
oneness 1
only 1
open 1
openness 1
opposition 1
other 1
over 2
parents 3
passes 1
people 1
point 1
priest 1
progress 1
protector 1
pulled 1
purging 1
questions 1
reaching 1
reality 1
realizes 2
realizing 1
reason 1
recapture 1
reconcile 1
reflects 1
relationship 2
religion 3
religious 2
represents 1
require 1
resolve 1
respected 1
responsibility 1
restless 1
rightful 1
ritual 1
river 1
roam 1
role 1
roman 1
roots 1
same 1
says 1
sea 1
searches 1
seek 1
self 1
sensuality 1
set 1
sevenjust 1
several 1
she 2
side 3
small 1
sons 1
sordidness 1
soul 1
special 1
spell 1
spiritual 1
story 2
structure 1
struggle 1
struggles 2
survives 1
symbolize 1
takes 1
tale 1
tells 1
tenorio 2
that 8
the 68
them 1
this 1
three 1
through 4
throughout 3
time 1
to 22
together 1
tony 16
toward 1
town 3
tradition 1
traditional 1
trementina 1
true 1
trying 1
turn 1
ultima 9
ultimately 1
unable 1
uncle 2
unthinking 1
up 2
uses 2
valley 1
values 1
vaqueros 1
very 1
view 1
views 1
violence 1
virgin 1
wants 1
war 1
was 2
way 1
weave 1
west 1
when 1
which 1
who 3
whose 1
wisdom 1
wise 1
witchcraft 1
with 11
witnesses 1
work 1
world 1
wrought 1
y 1
young 1
