6161823
/m/0ftgff
/m/0ftgff
Beverly Cleary
1970
a 7
acres 3
adventures 1
an 2
and 9
as 1
at 2
away 1
back 2
bargain 1
begins 1
being 1
believe 1
beloved 1
book 2
boy 1
bring 1
by 2
cage 2
camp 3
captured 1
cat 1
children 1
chum 1
clearing 1
day 1
down 1
encounters 1
endure 1
escapades 1
escape 1
eventually 2
evil 1
exchange 1
family 1
fed 1
feeling 1
first 2
for 1
form 1
from 3
garf 6
garfield 1
given 1
go 1
had 1
hamster 1
happy 3
he 2
him 2
his 5
home 1
homesick 1
hops 1
in 5
include 1
inn 2
is 3
keith 2
kept 1
life 1
missing 2
motorcycle 5
mountain 2
mouse 1
must 1
name 1
named 2
next 1
nosy 1
obnoxious 1
of 2
one 2
onto 1
or 1
over 1
pet 1
ralph 7
reassures 1
relationship 1
rest 1
return 2
returned 1
reunited 1
road 1
sam 1
separated 1
series 1
similar 1
speeds 1
strikes 1
that 2
the 18
time 1
to 3
took 1
toward 1
toy 1
up 1
view 2
was 1
watch 3
watchdog 1
where 1
who 1
will 1
with 6
