4634742
/m/0cdqmp
/m/0cdqmp
Colin Brake

243 1
a 3
abandoned 1
advancements 1
aliens 1
and 3
are 3
arriving 1
as 1
axista 1
back 1
basics 1
be 2
bunker 1
by 1
can 1
claim 1
colonists 2
colony 4
cryogenic 1
danger 1
daughter 1
doctor 1
does 1
earth 1
expected 1
extinction 1
find 1
first 1
founded 1
four 1
from 1
further 1
have 1
hope 1
hopeful 1
humanitarian 1
hundred 1
ideals 1
in 3
independent 1
jamie 1
kirann 1
later 1
littleknown 1
loyalists 1
nearcivil 1
not 1
noted 1
of 2
on 1
one 1
out 1
planet 1
raiding 1
random 1
ransom 1
ransome 1
realists 1
remains 1
reunited 1
revived 1
ship 1
stewart 1
stirring 1
supposedly 1
suspension 1
technological 1
the 9
their 1
this 1
to 3
underground 1
war 1
was 1
who 1
work 1
years 1
zoe 1
