26775913
/m/0bmcry4
/m/0bmcry4
Otis Adelbert Kline
1930
{"/m/06n90": "Science Fiction"}
a 6
aliens 1
american 1
an 2
and 4
as 2
back 1
be 1
beautiful 2
being 1
between 1
breaks 1
but 1
by 2
character 1
communication 1
cut 1
design 1
devises 1
dollars 1
dustin 1
earth 1
eventually 1
fires 2
first 2
from 2
groups 1
guards 1
gun 1
hails 1
he 2
heads 1
her 1
his 1
huge 1
in 1
inhabit 1
invented 1
inventor 1
is 1
its 1
launched 1
meets 1
million 1
moon 6
object 1
of 5
off 1
one 2
out 2
own 1
person 1
planet 1
princess 1
prize 1
reply 1
satellite 1
seeks 1
shortly 1
spacecraft 1
surface 1
ted 3
that 1
the 13
their 1
thereafter 1
titular 1
to 4
touch 1
transmission 2
turns 1
two 1
upon 1
using 1
videophone 1
war 1
warlike 1
well 1
which 1
who 1
win 1
with 2
woman 2
yellow 1
