20985742
/m/05b4p1c
/m/05b4p1c
L. Frank Baum

{"/m/03mfnf": "Young adult literature"}
114 1
7 1
a 17
accidents 1
account 1
acquire 1
action 1
actress 1
admiration 1
adventurer 1
after 1
ajo 2
also 3
ambulance 1
ambulances 1
american 1
americans 2
among 1
an 3
and 18
appear 1
appears 1
arabella 2
arctic 1
are 6
arrived 1
as 5
at 3
aunt 2
authorities 1
back 1
badly 1
battlefield 2
baum 2
be 1
becoming 1
been 2
before 1
belgian 1
beth 4
body 1
book 3
both 2
bureaucracies 1
but 5
by 3
cacti 1
calls 1
cannot 1
carry 1
cause 2
charactererratic 1
characters 2
chauffeur 2
climax 1
combat 1
combining 1
come 2
comic 1
concerned 1
conditions 1
confidence 1
confront 1
confronting 1
connection 1
continuing 1
conversion 1
cope 1
cousins 1
coward 1
cowardice 1
cross 1
crosses 1
custody 1
de 1
death 3
descriptions 1
devoted 1
discipline 1
disfigured 2
dissuade 1
doctor 2
does 2
done 1
doyle 1
dr 1
driver 1
dunkirk 2
duty 1
dyne 1
eager 1
eccentric 1
effectively 1
effort 1
encounters 1
end 2
enthusiasm 1
enthusiastic 1
escapes 1
europe 1
example 1
exposure 1
fear 1
fewer 1
film 1
final 1
finds 1
first 2
follow 1
for 7
foreign 1
form 1
french 2
from 3
full 1
functions 1
german 2
girls 3
graf 1
gys 5
had 2
hardluck 1
has 4
have 2
he 7
her 3
heroic 1
himself 1
his 11
hope 1
horrors 1
hospital 1
i 1
icebergs 1
in 11
influence 1
injured 2
intensely 1
interest 1
involving 1
is 11
it 1
its 1
jane 2
john 5
jones 2
keeping 1
killed 1
kind 1
large 1
limited 1
lives 1
lose 1
louise 1
maiden 1
maubeuge 1
maud 6
maurie 1
mdash 1
medical 1
merrick 2
merrrick 1
mild 1
military 1
money 1
months 2
morbid 1
mother 1
movie 1
name 3
named 1
neophyte 1
new 1
news 1
newspaper 1
nieces 2
not 1
novel 1
nurse 1
nursing 2
oceangoing 1
of 17
on 3
one 1
opens 1
out 1
over 1
painted 1
paralyzing 1
particular 1
partisan 1
patsy 4
pays 1
personakept 1
place 1
poisoned 1
preferable 1
previous 1
previously 1
prisoner 1
process 1
proclaimed 1
protagonists 2
provides 1
reacts 1
reading 1
recovers 1
red 2
refitting 1
release 1
relief 1
repeatedly 1
resolves 1
result 1
return 1
reunited 1
same 1
satisfied 1
sees 1
september 2
series 1
serve 1
service 1
she 2
ship 2
shocked 1
siege 1
soldiers 1
somewhat 1
soon 2
staff 1
stanton 4
star 1
states 1
story 1
strenuous 1
struck 1
surgeon 1
takes 2
talented 1
tells 1
that 4
the 45
their 6
them 2
they 1
third 1
though 2
three 2
to 13
trained 1
training 1
treating 1
trio 1
two 2
uncle 5
united 1
unselfishly 1
usefulness 1
uses 1
van 1
various 1
victory 1
violence 1
volunteers 1
wampus 1
war 3
way 2
wealth 1
west 1
what 1
when 2
whimsical 1
who 3
wife 1
with 9
wonders 2
work 1
would 1
wounded 2
yacht 1
year 1
york 1
you 1
your 2
youre 1
youve 1
yucatn 1
