12067316
/m/02vnp_3
/m/02vnp_3
Michael Connelly
2005
a 5
accused 1
after 1
an 1
and 8
angeles 2
appears 1
are 1
around 1
assault 1
at 1
attempted 1
attorney 1
baggage 1
be 2
by 2
car 1
case 2
change 1
client 2
clients 1
continues 1
county 1
crime 1
criminal 1
dealers 1
defense 1
driven 1
drug 1
emotional 1
end 1
ethical 1
fees 1
female 1
first 1
focuses 1
former 2
frees 1
gangsters 1
guilty 1
haller 2
he 1
hence 1
him 1
his 1
however 1
important 1
in 3
innocent 2
jesus 1
legal 2
lies 1
lincoln 1
los 2
louis 1
making 1
many 1
menendez 2
mickey 2
moderately 1
most 1
much 1
murder 1
murderer 1
mysteriously 1
not 1
obligations 1
of 4
off 1
on 1
operates 1
original 1
out 1
outmaneuvers 1
pleading 1
practice 1
prison 1
quentin 1
rapist 1
realtor 1
reconsider 1
related 1
revealed 1
revelations 1
roulet 3
san 1
selfexamination 1
serving 1
set 1
similar 1
situation 1
state 1
story 1
successful 1
surprising 1
the 6
theory 1
though 1
time 1
title 1
to 3
town 1
unusually 1
up 1
victim 1
violating 1
wealthy 1
while 1
without 2
working 1
