19740466
/m/04n26_j
/m/04n26_j
Edna Ferber
1931

12 1
18th 1
a 3
advised 1
after 1
along 1
america 1
an 1
and 8
architect 1
are 2
arrive 1
arrives 1
assumes 1
at 1
baldwin 1
beautiful 1
because 1
being 1
brother 1
built 1
buy 1
by 5
calls 1
candace 2
captain 2
century 1
childhood 1
chores 1
cleaning 1
connecticut 1
crash 1
currently 1
daughter 2
death 1
degenerated 1
disarray 1
discovering 1
early 1
eventually 2
family 3
farm 3
find 1
finding 1
following 1
for 1
forced 1
from 1
generation 2
greed 1
half 1
have 1
he 2
health 1
helping 1
her 4
his 5
home 3
house 3
household 1
however 1
immigrant 1
immigrants 1
in 4
incapable 1
inherited 1
is 5
it 3
judith 3
land 2
left 1
mansion 1
market 1
marries 1
millionaire 1
most 1
mother 1
name 1
namesake 1
niece 1
oakes 7
of 14
olszak 2
on 1
ondia 1
operates 1
order 1
orrange 2
owned 1
passed 1
personality 1
polish 2
pring 1
property 1
resemble 1
responsibility 1
return 1
says 1
seems 1
sell 1
she 1
sister 1
son 1
state 1
stock 1
takes 1
tamar 2
temmie 4
that 2
the 21
through 1
till 1
time 2
to 6
tobacco 1
true 3
unnerved 1
vigor 1
what 2
who 1
wily 1
with 1
works 1
youth 1
