1354207
/m/04w5g0
/m/04w5g0
Dai Sijie
2000
{"/m/012jgz": "Autobiographical novel", "/m/0hwxm": "Historical novel"}
172 2
3 1
a 13
abortion 2
about 2
absence 1
accent 1
adopts 1
afraid 1
after 5
agree 1
ailing 1
all 2
allows 1
also 2
although 1
an 2
and 25
are 7
as 5
at 4
attracted 1
authoritiesparticularly 1
backfires 1
balzac 1
be 2
beautythat 1
because 1
becomes 2
been 1
begins 1
being 1
book 3
books 2
both 1
bourgeoisie 1
boys 2
burns 1
but 1
by 7
cabin 1
call 1
called 1
calmer 1
captivated 1
carrying 1
chairman 1
character 3
characters 1
children 1
chinese 2
city 1
clock 1
closely 1
clothing 1
coal 1
comes 1
communist 2
communistfriendly 1
completely 1
concludes 1
confides 1
convince 1
count 2
counterrevolutionary 1
credits 1
cristo 2
crop 1
cultural 1
cultured 1
dai 1
daughter 1
day 1
days 1
de 1
death 1
declared 1
delights 1
dental 1
described 1
doctor 1
dont 1
drill 1
during 1
educate 1
educating 1
ending 1
enemies 1
english 1
entitled 1
eponymous 1
even 1
excused 1
faced 1
fall 1
farewell 1
farming 1
few 1
film 3
films 2
fine 1
first 1
fix 2
flower 2
for 7
forbidden 1
forced 1
foreign 1
former 1
found 1
foureyes 4
french 2
frenzy 1
from 4
fu 1
genius 1
girl 1
gives 1
giving 1
grief 1
grows 1
had 2
has 1
have 2
he 6
headman 2
headmans 2
hear 1
her 5
hiding 1
him 1
himlater 1
his 3
home 1
honor 1
however 2
ideas 1
identified 1
if 2
illegal 1
improvised 1
in 14
include 1
individualism 1
inebriated 1
inspirational 1
is 13
it 3
jealously 1
jeanchristophe 1
jing 1
just 1
knowing 1
korean 2
later 1
law 1
leave 1
leaves 3
left 1
lei 1
lend 1
like 1
little 7
local 1
look 1
love 2
luo 14
luos 2
ma 2
make 1
making 1
mao 1
marry 1
meet 1
melodramatic 1
mines 1
mirout 1
missing 1
mission 1
modern 1
monte 2
month 1
months 2
more 2
mother 2
motivated 1
motivation 1
mountain 1
mozart 2
musician 1
must 1
name 1
narrator 11
near 1
nearby 1
newfound 1
night 1
no 1
north 1
not 1
novel 3
novels 1
of 25
on 1
one 2
operate 1
order 1
other 2
out 1
own 1
pair 2
parents 1
passionate 1
perfectly 1
performed 1
period 1
phoenix 2
plan 1
poet 1
possessions 1
power 1
pregnant 1
previous 1
prison 1
prominent 1
propaganda 1
punish 1
reactionaries 1
reading 1
recites 1
reeducated 2
reeducation 1
refined 1
region 1
reigning 1
relate 1
relationship 1
repairing 1
resembles 1
rest 1
returned 1
returns 2
revolution 1
revolutionary 1
rice 1
robbery 1
rolland 1
romain 1
romantic 1
russian 1
same 1
saying 1
scene 1
seamstress 7
secret 1
see 1
seems 1
seller 1
sense 1
sent 2
set 1
sex 1
sexual 1
she 4
sijie 1
silently 1
since 1
sky 2
slowly 1
society 1
son 1
sonata 1
spreading 1
spurs 1
state 2
stays 1
steal 1
story 2
storytelling 2
succeeding 1
successful 1
surgery 1
tailor 2
tale 1
talents 1
teenagers 2
teeth 3
tell 1
thankful 1
that 4
the 79
their 4
them 1
then 1
there 1
these 1
they 7
thinking 1
this 2
threat 1
threatens 1
three 1
throughout 1
tibet 1
time 1
to 25
too 1
town 1
townspeople 2
translation 1
tree 1
turn 1
two 5
under 1
understand 1
unnamed 1
unsuccessful 1
up 3
ursule 1
version 1
village 5
violin 1
virgin 1
visiting 1
was 1
watches 1
wedlock 1
when 3
which 3
while 1
who 2
will 1
with 3
without 1
wonder 1
work 2
working 1
worried 1
wrapped 1
written 1
yet 2
yong 1
young 1
