623643
/m/02xs_s
/m/02xs_s
Nikolai Gogol
1842
{"/m/02xlf": "Fiction"}
1th 1
400 1
a 17
absurd 2
acquire 3
acquires 1
acquiring 1
across 1
actually 1
again 1
against 2
agrees 1
all 2
along 1
also 1
although 1
amongst 1
an 3
and 16
another 2
any 1
anyway 1
apparent 1
are 3
arm 1
arranged 1
arrest 1
arrested 1
arrives 1
as 3
assessment 1
assumes 1
at 3
attempts 2
aunt 1
back 1
backwardness 1
based 1
basis 1
be 3
been 1
befriend 1
beginning 1
begins 1
betrishchev 2
better 1
bizarre 1
bought 1
burden 1
but 4
by 3
can 1
captain 1
caricatures 1
carry 1
celebration 1
census 2
censuses 1
century 1
characters 1
chichikov 12
choice 1
class 1
collect 1
collecting 1
collection 2
colonel 1
combining 1
come 1
comes 1
company 1
complicated 1
confusion 1
connections 1
continue 1
continues 1
conveyed 1
corruption 2
curious 1
daughter 2
dead 9
delicately 1
desires 1
despite 1
destitute 1
determined 1
difficult 1
disgrace 1
disgraced 1
disguise 1
distrust 1
do 1
due 1
during 1
each 1
eager 1
easily 2
eccentric 1
elope 1
encountering 1
ends 1
enjoying 1
enormous 1
enough 1
ensues 1
essentially 1
estate 3
estates 1
eventually 1
everpopular 1
exchange 1
exploits 1
extravagantly 1
failings 1
far 1
farm 1
favor 1
finally 1
find 1
first 1
flare 1
flat 1
flee 2
flees 1
follows 1
for 4
forced 1
forge 1
from 5
funds 1
future 1
gain 2
general 3
gentleman 1
get 1
give 1
giving 1
go 1
gogol 1
good 1
gossiphungry 1
government 2
governor 1
grand 1
great 2
greed 2
gross 1
had 3
has 2
have 1
he 19
help 1
him 1
himself 1
his 6
honour 1
hopes 2
how 1
however 2
idle 1
ignorant 1
immediately 1
impressing 1
in 13
individual 1
inflate 1
inflating 1
infrequent 1
instead 1
intervention 1
irrational 1
is 10
it 1
just 1
khlobuyev 2
kindly 1
kopeikin 1
koshkaryov 1
landowner 2
landowners 3
large 1
leg 1
legal 1
legally 1
light 1
like 1
limited 1
live 1
living 1
loan 1
longer 1
lost 1
macabre 1
make 1
manages 1
manifested 1
many 3
marry 1
may 1
means 1
merely 1
middling 1
midsentence 1
mission 1
more 3
most 1
mourazov 1
mysterious 1
name 1
napoleon 1
needless 1
needs 1
neurotically 1
no 2
not 1
notorious 1
novel 2
now 1
of 18
off 2
official 1
officials 2
often 1
on 7
once 1
or 2
ostracized 1
out 2
owners 1
ownership 1
paranoia 1
pardoned 1
part 1
paying 2
payment 1
people 2
period 1
persistent 1
personal 1
petty 2
plan 1
planning 1
position 2
possibility 1
power 2
premise 1
present 1
prince 2
property 1
prospective 1
proves 1
provincials 1
purchase 1
purchases 2
quick 1
quickly 1
quirks 1
rails 1
recorded 1
records 2
registered 1
regular 1
relatives 1
relieve 1
retire 1
retired 1
returns 1
rich 2
rights 2
rumours 1
russia 1
russian 2
satirizes 1
scheme 2
second 1
section 1
seeks 1
sellers 2
selling 1
serfs 4
set 1
setting 1
show 1
since 1
small 1
so 4
social 2
some 1
souls 8
speech 1
spends 1
standing 1
start 1
stereotypes 1
still 1
story 1
such 1
suddenly 1
suggestions 1
surrounding 1
suspicion 1
take 1
task 1
tax 3
taxes 1
tells 1
tentetnikov 2
than 2
thanks 1
that 14
the 59
their 2
them 4
themselves 1
there 1
these 2
they 2
this 2
thrown 1
thus 1
time 1
to 31
token 1
town 6
townspeople 2
transactions 1
traveller 1
treated 1
tries 2
typically 1
ulinka 1
up 2
use 1
venture 1
version 1
very 1
village 1
villages 1
visit 1
visits 1
war 1
was 1
way 2
wealth 3
were 5
when 1
who 2
will 4
with 6
would 4
yet 1
