23382358
/m/06w8rhc
/m/06w8rhc
Alan Lawrence Sitomer
2006
{"/m/084s13": "Urban fiction"}
a 6
about 3
after 1
all 1
and 4
anderson 1
andre 1
applications 1
as 2
at 1
attacked 1
before 1
begins 1
best 1
book 1
but 1
by 1
ceesaw 2
challenges 1
changes 1
college 1
constantly 1
devon 2
does 1
doubts 1
dropping 1
due 2
during 1
events 2
everyone 1
expects 1
faces 1
fail 1
family 1
few 1
fill 1
five 1
forced 1
friend 1
friends 2
gang 1
getting 1
ghetto 1
grades 1
guy 1
her 6
high 1
his 1
hoopster 1
how 1
however 1
in 2
intelligent 1
into 1
is 4
issues 1
it 1
leaves 1
makes 1
malcolm 1
many 1
mother 1
mr 1
new 1
of 3
on 1
out 2
place 1
poor 1
potential 1
prequel 1
report 1
respects 1
school 5
she 2
sister 1
sophomore 1
starts 1
story 1
such 2
summer 1
takes 1
teacher 1
that 2
the 6
then 1
theresa 6
thinks 1
to 5
tough 1
trouble 1
wardin 1
weeks 1
which 1
while 1
x 1
year 1
years 1
younger 1
