1780941
/m/05wdw5
/m/05wdw5
Richard Preston
1994
{"/m/03lrw": "Hard science fiction", "/m/02xlf": "Fiction", "/m/05h83": "Non-fiction"}
18 1
24nbspkm 1
3 1
4 2
a 22
abandoned 1
about 2
accounts 1
actions 1
affect 1
africa 2
after 2
agents 1
aids 3
air 1
all 2
almost 2
also 2
always 1
among 1
an 1
and 20
animal 1
animals 1
any 1
anyone 1
appeared 2
are 2
area 1
army 1
arrives 1
as 4
assigned 1
at 6
attempting 1
author 3
away 1
back 1
backache 1
bacterium 1
be 4
become 1
becomes 2
been 1
before 1
began 1
begins 1
believed 1
biosafety 3
bleeds 1
blood 3
book 4
building 1
but 6
by 7
called 3
camping 1
can 1
cardinal 1
carrier 1
caught 1
caused 1
cave 7
cdc 1
center 1
centers 1
central 1
charles 3
chronicles 1
collect 2
coma 1
company 1
concludes 1
conclusion 1
condition 1
containment 1
contaminated 2
control 1
cousin 2
cuts 1
day 1
dc 1
dead 1
decided 2
delves 1
described 1
describes 1
destined 1
detail 1
deteriorates 1
deteriorating 1
determine 1
detrick 1
diarrhea 1
did 1
die 1
dies 1
discovery 1
discusses 1
disease 3
doctor 1
does 3
dr 1
during 2
early 1
easily 1
ebola 4
ebov 3
ebovinfected 1
effects 1
elects 1
elgon 3
enters 1
epizootic 1
equipped 1
euthanize 1
evd 1
eventually 1
every 1
explore 1
exposed 2
exposure 2
extensively 1
eye 1
facility 2
fail 1
family 1
fatal 1
fever 2
few 1
fifteen 1
filovirus 2
filoviruses 1
final 1
finally 1
finds 1
first 1
flask 1
flasks 1
following 1
food 1
for 8
fort 1
four 1
from 5
further 1
get 1
gets 1
given 1
gloves 1
goes 2
great 1
had 1
hand 2
harmless 2
have 1
hazelton 1
hazmat 1
he 9
headache 1
health 1
hemorrhages 1
hemorrhagic 2
her 2
high 1
highway 3
himself 1
his 1
history 1
home 2
hospital 3
host 1
house 2
humans 3
ie 1
ill 1
imported 1
in 16
including 1
infected 6
infection 1
initial 1
insert 1
inside 1
internal 1
into 3
introduces 1
involved 1
is 15
it 3
its 2
jaax 2
kenya 1
kinshasa 1
kitum 5
known 2
laboratories 1
large 1
laryngoscope 1
later 2
less 1
lethal 1
level 3
levels 1
lives 1
long 1
man 1
marburg 1
marv 3
mayinga 1
meanwhile 1
members 1
mentioned 1
might 2
miles 1
monet 4
monkey 3
monkeys 5
more 1
mount 3
musoke 2
nairobi 3
named 2
nancy 2
natural 1
nausea 1
not 6
now 1
number 3
nun 1
nurse 1
october 1
of 21
on 6
once 1
one 5
only 1
open 1
operated 1
or 1
organs 1
origins 1
other 1
out 1
outbreaks 1
part 1
particular 1
permission 1
peter 1
physician 1
preparing 1
present 1
preston 2
primates 1
procedures 1
process 1
progression 1
promising 1
promoted 1
pseudomonas 1
pseudonym 1
quarantine 2
ravn 1
ravv 1
reacted 1
red 1
relative 1
research 2
reston 6
restv 1
right 1
role 1
room 2
samples 5
saying 1
scientists 1
secretly 1
sections 1
see 1
send 2
shadow 1
she 3
shem 1
simian 1
similar 1
smashdown 1
some 1
sometimes 1
soon 1
speculation 1
spreads 1
staff 1
stage 1
starts 1
story 2
strain 1
study 2
succumbs 1
sudan 1
sudv 1
suffer 1
suit 1
survive 2
suspected 1
symptomatic 1
symptoms 1
taken 2
talks 1
team 2
tears 1
tell 1
tells 1
tenyearold 1
terrifyingly 1
test 1
tested 1
testing 1
than 1
that 6
the 58
their 4
themselves 1
there 1
they 5
this 4
time 1
tissue 1
to 28
told 1
travels 1
treating 1
treatment 2
trip 1
two 1
unknown 1
unusually 1
us 1
usamriid 4
very 1
veterinarian 1
violent 1
viral 1
virginia 2
virus 17
viruses 1
visit 1
visiting 3
visits 1
vomit 1
vomiting 2
wafting 1
waiting 2
was 4
washington 1
way 1
well 1
were 2
when 3
where 2
which 4
while 5
who 3
will 1
with 10
without 1
work 1
working 1
wound 1
young 1
zoonosis 1
