13758156
/m/03x_lxs
/m/03x_lxs
Bernard Cornwell
2000-10-16
{"/m/0hwxm": "Historical novel"}
1342 1
a 27
about 1
actions 1
after 1
afterwards 1
again 1
all 3
along 1
also 4
ambushed 1
among 1
amorica 1
an 4
and 47
another 1
appears 1
archer 1
archers 2
are 5
arm 1
armies 1
arms 1
army 11
arrive 1
arrows 1
arse 1
as 8
assault 4
assaults 1
astarac 2
at 2
attached 1
attack 2
attempts 6
away 1
back 3
band 1
banished 1
battle 7
battlefield 1
be 4
beaten 2
become 1
becomes 3
been 1
before 1
befriends 1
begins 1
being 2
besieging 1
black 3
blackbird 1
blanc 1
blanchetaque 1
blue 1
boil 1
book 1
both 3
bow 2
brittany 2
brutally 1
but 13
by 15
caen 2
calls 1
campaign 1
can 1
captured 1
captures 1
carry 1
cathar 1
chance 1
channel 1
charge 1
chastised 1
child 1
churchman 1
city 7
coat 1
command 3
commander 2
competent 1
conduct 1
confronts 1
constantly 1
count 1
countess 1
counts 1
cousin 1
crecy 2
crest 1
crossbow 1
days 1
de 1
deal 1
decide 1
decides 2
defeat 2
defenders 1
defense 1
descendants 1
despite 3
destroy 2
destroyed 2
devecque 2
discovered 1
do 1
doctor 1
down 2
dressed 1
duke 2
during 4
eager 1
earl 4
easter 1
edward 1
eleanor 3
encounters 3
english 10
entry 1
epic 1
escape 2
escapes 2
even 1
event 1
everyone 1
eye 1
fact 1
family 3
father 6
field 1
fight 1
fighting 1
fights 1
find 1
for 5
forbids 1
force 6
ford 1
former 1
forward 1
four 2
france 1
free 1
french 10
friend 1
friends 1
from 6
front 1
fury 1
garrison 1
gates 1
gave 2
geoffrey 5
george 2
gives 1
go 3
golden 1
gone 2
grail 1
great 1
growing 1
guard 1
guarding 1
guillaume 15
guy 3
had 1
hand 2
hang 1
harlequin 7
has 6
hates 1
hawks 1
he 11
head 1
health 2
help 1
helps 1
her 6
heretics 1
him 18
himself 1
hired 1
his 18
hobbe 1
holy 1
honour 1
hookton 3
house 2
however 2
husband 1
iii 1
illegitimate 1
impresses 1
in 16
including 1
infamous 1
information 1
inhospitable 1
injures 1
invaded 1
is 30
it 4
jeanette 14
jekyll 22
jewish 1
join 1
kidnaps 1
kill 6
killed 2
killers 1
kills 2
knight 3
knights 1
knocks 1
known 1
la 2
lady 1
lance 3
lannion 2
later 2
lead 1
learns 2
leaves 1
leaving 1
left 1
let 1
lets 1
like 1
line 1
longbows 1
longer 1
loses 1
loss 1
losses 1
lover 1
lure 1
mad 1
main 1
make 1
manages 4
manatarms 1
many 1
massacred 1
may 1
meanwhile 2
member 1
men 7
missing 1
mordecai 2
morning 1
move 1
moves 1
mowed 1
name 1
named 2
narrative 1
nearly 1
new 1
night 2
no 1
nominal 1
normandy 1
northampton 1
not 2
nursed 1
nurses 1
of 27
on 10
once 1
onslaught 1
open 1
out 2
palisade 1
pants 1
part 1
party 1
penetrate 1
permission 1
placed 1
plan 1
plunder 1
pont 1
possession 1
powerful 1
prevented 1
prevents 1
priest 1
prince 3
prologue 1
putting 1
raid 1
raiders 2
raids 1
rape 2
raped 1
rapes 1
reach 1
real 1
rear 1
recognizes 2
recover 1
refuge 1
refuses 1
rejoin 2
related 1
relief 1
reminds 1
rescued 1
rescues 2
response 1
return 1
revealed 1
reveals 1
revenge 4
river 1
rochederrien 2
sacked 1
saved 1
secretly 1
sees 1
sent 1
series 1
serve 1
serving 1
set 1
several 1
severely 1
she 3
shoots 2
side 2
silver 1
simon 4
simply 2
sir 21
skeat 13
skills 1
small 1
so 2
son 1
soon 1
squire 1
st 2
stabs 1
stay 1
steal 1
stolen 1
successfully 1
take 4
takes 1
tell 1
tells 1
that 7
the 92
them 2
then 7
they 3
thigh 1
this 1
thomas 37
though 3
three 1
through 2
time 1
to 46
town 2
training 1
traumatized 1
treasure 1
tries 2
two 4
unconscious 1
under 5
up 3
vengeance 1
vexille 6
village 2
villages 1
visit 1
vow 1
vows 1
walks 1
wants 1
war 1
warrior 1
was 2
way 1
weak 1
weakened 1
weakly 1
well 1
where 1
who 11
whose 1
will 4
with 12
woman 2
wooden 1
wound 2
wounds 2
years 1
young 1
your 1
