657059
/m/02p2sc9
/m/02p2sc9
Patrick O'Brian
1973
74gun 1
a 21
able 1
aboard 2
action 1
admiral 1
admiralty 2
advance 1
affection 1
after 2
agent 1
agree 1
ahead 2
allow 1
along 1
also 3
ambassador 4
ambassadors 1
america 1
an 6
and 31
another 1
antarctic 1
anyway 1
are 5
around 3
arrest 1
arrival 1
arrives 1
as 11
ashore 1
asks 1
at 7
aubrey 1
audience 1
avoid 1
back 1
bailiffs 1
be 2
because 1
becomes 1
been 2
before 1
begin 1
being 2
berceau 1
books 1
bounties 1
bracelets 1
brazil 1
britain 1
broadsides 1
bullet 2
but 5
by 5
calcutta 1
called 1
canning 5
cape 1
captain 1
captains 2
capture 2
captured 2
catalan 1
caught 1
challenge 1
child 1
china 4
choosing 1
city 1
classified 1
clears 1
closes 1
coach 1
coast 1
come 1
command 1
commanded 1
companion 1
company 1
confronts 1
considered 1
continues 1
convinces 2
corvette 1
crew 1
cruising 1
damage 1
date 1
day 1
days 2
debating 1
debt 4
decides 1
decision 1
defence 1
departs 1
despite 1
devoid 1
diana 3
dies 1
dil 3
disengage 1
does 1
doldrums 1
doubt 1
down 1
dresses 1
duel 2
during 3
dutch 1
each 1
eagerly 1
east 3
else 1
emergency 1
encounter 1
encounters 1
end 2
endure 1
engages 3
england 6
english 2
entering 1
enthusiastic 1
entire 1
equator 1
especially 1
exchanges 1
expected 1
exposing 1
far 1
ferry 1
fever 1
fight 1
financially 1
finds 3
first 1
flee 1
fleet 5
for 6
forced 1
forces 1
forcing 1
fortune 1
freight 1
french 7
fresh 1
frigate 1
from 8
fruit 1
gain 1
gather 1
get 1
gets 1
girl 1
given 1
goes 2
gold 2
good 1
grant 1
had 5
hand 1
happy 1
has 4
have 1
he 9
hear 1
heart 1
heavier 1
held 2
help 2
her 10
high 1
him 8
himself 2
his 9
hms 1
home 1
hope 1
hoped 2
how 1
husband 1
ill 1
immediately 1
in 15
including 2
india 4
indiamen 2
indian 2
indies 1
influence 1
information 1
instead 1
intelligence 2
interested 1
interrogators 1
into 3
is 18
island 1
it 1
its 1
jack 17
jacks 1
jewels 1
johnson 1
johnstone 1
joseph 1
journey 2
killed 1
killing 2
large 3
largest 2
later 2
lead 1
learn 1
leave 1
leaving 1
left 1
line 1
linois 2
local 1
lodged 1
long 1
lord 1
madeira 1
makes 2
marengo 1
marriage 1
marry 4
maturin 1
may 1
meanwhile 2
meet 1
meets 2
menofwar 1
mentions 1
merchant 2
merchants 1
middle 1
mission 2
money 1
mother 1
mr 2
much 1
name 1
named 1
new 2
night 2
no 1
north 1
not 5
nothing 1
now 1
ocean 3
of 29
officers 1
on 12
once 1
one 2
operates 1
organize 1
other 3
otherwise 1
out 1
outgunned 1
overtakes 1
parade 1
percentage 1
peril 1
picked 1
point 1
possibly 1
post 1
predicament 1
prize 1
prizes 2
proceedings 1
promise 1
promises 2
puts 2
receives 1
recently 1
refit 4
refuses 1
released 1
removing 1
rendezvous 1
rescue 1
respond 1
responsible 1
rest 1
result 1
return 3
returned 1
returning 2
returns 1
revolutionary 1
reward 1
ribs 2
richard 1
rigging 1
rival 1
robbed 1
running 1
sail 1
sailing 1
sails 1
saving 1
scurvy 1
secretly 1
see 1
sees 1
sends 1
sent 1
service 1
setting 1
several 1
severe 2
she 5
ship 8
shipment 1
ships 2
shoots 2
should 1
show 1
shows 1
shredding 1
side 1
signs 1
silver 1
sir 1
smaller 2
smallest 1
so 2
some 2
soon 1
sophie 5
spain 2
spanish 2
speed 1
spend 1
sponginghouse 1
spots 1
squadron 5
stable 1
stephen 21
still 2
stipulated 1
stop 2
storm 2
streetwise 1
supplies 1
surgeon 1
surprise 14
taken 1
takes 1
tells 1
than 2
that 9
the 81
their 2
them 3
then 3
there 1
they 7
this 1
those 1
though 1
time 1
to 39
together 1
tortured 1
tracking 1
transport 1
turns 3
unescorted 1
up 2
upon 2
uses 1
value 1
ventures 1
very 1
villiers 1
visit 1
war 2
warn 1
warship 1
was 2
watching 1
waters 3
wealthy 1
welcome 1
when 3
where 1
which 3
while 1
who 5
wide 1
will 3
williams 1
willingly 1
with 6
within 1
would 1
wouldbe 1
