1810470
/m/05yrp_
/m/05yrp_
William Sleator

a 9
after 2
and 5
angela 2
any 1
at 1
attends 1
backfires 1
be 1
beach 1
because 1
begin 1
being 1
believes 1
birthday 2
can 1
change 1
character 1
clone 3
coin 1
copy 2
could 1
create 1
crush 1
date 1
david 6
desires 1
device 3
differ 1
duplicate 6
ends 1
eventually 1
find 1
finds 1
fish 1
from 1
go 2
goals 1
grandmother 1
grandmothers 1
has 2
having 1
he 4
him 1
himself 3
his 7
is 1
later 1
lessthanperfect 1
life 1
living 1
loses 1
main 1
makes 1
new 1
of 3
on 3
orders 1
organism 1
original 3
pet 1
plan 1
problems 1
real 1
refuses 1
reproduction 1
second 1
so 1
something 1
stop 1
stumbles 1
take 1
testing 1
that 4
the 12
to 8
toss 1
turns 1
up 1
upon 1
uses 1
way 1
when 1
while 1
will 1
with 1
