16142406
/m/03wb5rh
/m/03wb5rh
Tim Powers
1979
{"/m/035qb4": "Historical fantasy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
152 1
a 7
about 1
achieved 1
adding 1
additional 1
advance 1
advanced 1
against 2
ago 1
allowed 1
also 2
ambushed 1
ancient 1
and 20
anticipation 1
approaching 1
archangel 1
are 2
army 4
arrive 1
arriving 1
as 4
at 1
aurelianus 3
battle 1
be 2
because 1
become 1
beer 2
beers 1
being 1
beneath 1
birds 1
bock 1
bouncer 1
brewery 3
brian 1
but 2
by 5
calls 1
capture 1
captured 1
causing 1
caves 1
city 3
clues 1
complete 1
continuously 1
corners 1
creatures 1
critical 1
current 1
danube 1
dark 3
death 1
defend 1
defenses 1
defensive 1
demonic 1
detail 1
down 1
drafted 1
drawn 1
duffy 7
eight 1
elder 1
enemy 1
epiphany 1
europe 2
even 1
events 2
every 1
fall 1
famous 2
far 1
father 1
final 1
finds 2
fisher 1
flung 1
for 1
former 2
from 3
girlfriend 1
go 1
gradually 1
group 1
gustav 1
hands 1
has 2
haunted 1
have 1
having 2
he 4
her 1
here 1
herzwesten 5
hidden 1
him 2
himself 3
hired 1
hiring 1
his 3
hoping 1
horrific 1
hundredth 1
i 1
ibrahim 1
improbably 1
in 10
individuals 1
inn 1
intends 1
into 3
irish 1
is 9
it 5
its 1
king 1
knows 2
leader 1
led 1
light 1
magically 1
magician 1
march 1
meanwhile 2
meets 1
memories 1
mercenary 1
michael 1
middleaged 1
monastery 1
monsters 1
more 4
most 1
must 1
mysterious 1
mystical 1
mythical 1
nature 1
never 1
not 3
now 1
obscure 1
of 14
old 1
on 1
only 2
others 1
ottoman 1
out 1
painting 2
part 1
past 2
paths 1
people 1
place 1
poised 1
position 1
possibility 1
previous 1
produced 1
properties 1
prophesied 1
protect 1
purpose 1
quite 1
ragnarok 1
real 2
reason 1
returns 1
river 1
sailed 1
search 1
secret 1
seems 1
sensed 1
sensitive 1
shadowy 1
ship 1
siege 2
significant 1
sip 1
site 1
small 1
socalled 1
soldier 1
some 1
spells 1
spent 1
spiritual 1
st 1
suleiman 1
sultan 1
supernatural 1
surprisingly 1
take 1
than 1
that 3
the 34
their 2
then 1
throughout 1
time 2
to 13
travels 1
turkish 3
turks 1
turns 1
under 1
up 1
upon 1
use 1
venice 1
very 1
vienna 9
vikings 1
visions 1
vogel 2
west 1
western 1
who 2
will 1
with 1
work 2
working 1
world 2
worldweary 1
year 2
years 1
yet 1
zimmerman 1
