7391041
/m/02607hx
/m/02607hx
Juliet Marillier
2002
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 12
accusations 1
after 1
age 1
alone 1
an 2
and 10
another 1
are 1
army 2
as 3
banished 1
be 2
becoming 1
befriends 1
berserker 1
binds 1
blood 1
bones 1
bound 1
boy 1
breakdown 1
breaks 1
brings 1
brother 4
brought 1
build 1
but 1
by 4
cannot 1
cares 1
cave 1
cliff 1
coldness 1
company 1
composed 1
creates 1
crisis 2
current 1
despite 1
destroy 1
die 1
edge 1
efforts 1
eirek 1
establish 1
expedition 1
exposure 1
eyvind 8
face 1
faced 1
fall 1
few 1
final 1
finally 1
finds 1
folk 1
for 2
friends 1
from 2
hall 2
harp 1
he 3
healing 1
help 1
hidden 1
him 4
his 6
ignored 1
immediately 1
imprisoned 1
in 5
is 6
island 1
isles 3
killed 1
leader 1
leaving 1
light 1
like 1
live 1
long 1
love 1
loyalty 1
made 1
magically 1
man 1
many 1
moral 1
murdered 1
must 1
mustered 1
native 2
natives 1
nessa 2
newfound 1
oath 2
of 10
old 2
on 1
only 1
others 1
out 2
own 1
peace 1
people 1
position 1
possible 1
priestess 2
princess 1
proof 1
quickly 1
quiet 1
remaining 1
restored 1
retaliation 1
ropes 1
ruler 1
sadistically 1
same 1
seeing 1
sends 1
settlement 1
small 1
smothered 1
somerled 6
soon 1
spirit 1
stays 1
suffers 1
suspended 1
that 3
the 23
then 1
thor 1
to 10
treaty 2
truth 1
two 1
ulf 4
very 2
viking 2
vikings 1
violence 1
voice 2
voyages 1
warrior 1
who 2
wishes 1
with 8
wolfskin 2
wolfskins 1
wounds 1
young 3
