31409561
/m/0gk_f2j
/m/0gk_f2j
Janet Morris
1978
{"/m/01hmnh": "Fantasy"}
2 1
25000 1
a 7
abyss 1
accidentally 1
admit 1
after 3
alone 1
although 1
an 3
ancient 2
and 18
approximately 1
are 4
arrange 1
as 1
associate 1
astria 2
at 1
attempt 1
back 1
battle 3
be 1
because 1
before 1
being 1
between 1
bipedal 1
blocked 1
blood 1
bond 1
book 1
but 2
by 4
cahndor 1
cannot 1
captured 3
carnelian 1
carth 1
chayin 5
city 3
citykeep 1
conclude 1
condition 1
continent 1
control 2
council 1
crew 1
decide 1
depleted 1
desert 2
destroyed 1
dharen 3
dueling 1
during 1
each 1
easily 1
enough 1
estrazi 1
estri 8
estris 5
exclusive 1
explore 1
failed 1
fails 1
fairly 1
fate 1
father 3
fears 1
federation 1
final 1
finally 1
for 5
forced 1
foretold 1
form 1
former 2
from 2
fulfillment 1
gene 1
generations 1
get 1
glory 1
golden 1
govern 1
had 1
has 3
he 4
held 1
her 5
heritage 1
him 2
himself 1
his 1
hold 1
horns 1
hostage 1
immediately 1
in 9
information 1
insistent 1
intermix 1
interrupted 1
is 4
it 1
its 1
journey 2
kept 1
key 1
khys 12
khystrai 1
kills 1
knows 1
lake 1
lakeborn 2
last 1
leaves 1
lines 1
live 1
locked 1
maintaining 1
making 1
many 1
materializes 1
means 1
meet 1
memories 1
memory 1
mentality 1
midst 1
mind 1
move 1
must 2
not 1
of 18
offlimits 1
on 2
or 1
other 2
out 1
over 2
parset 2
parts 1
people 1
picks 1
planet 5
play 1
pool 1
power 1
privileged 1
prophecy 3
rebuilt 1
regains 1
renegade 1
renew 1
rest 1
returned 2
returns 1
reunited 1
rule 1
ruler 3
run 1
sekeroth 1
selfawareness 1
sereth 9
series 1
sexuality 1
shaper 1
she 3
ship 1
ships 1
silistra 6
silistran 1
slave 1
slayer 1
so 2
spoken 1
start 1
strengthen 1
such 1
sword 1
take 1
taken 1
taking 1
teacherbrainwasher 1
tell 1
that 2
the 28
their 2
them 2
themselves 1
these 1
they 5
this 1
thousands 1
threatens 1
three 1
throne 1
to 16
triad 1
tribe 1
tribes 1
trios 1
turned 1
two 2
tyrant 1
understand 1
uninhabited 1
up 1
well 3
were 1
which 2
who 2
will 2
wind 1
with 4
wrest 1
years 4
