2274331
/m/0700jy
/m/0700jy
Iris Murdoch
1957-12
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 12
about 2
absent 1
accident 1
acquainted 1
advised 1
after 3
alibi 1
all 1
an 2
and 16
any 2
as 2
at 3
away 3
back 3
became 1
believe 1
between 1
bill 6
book 1
burke 1
but 6
by 1
came 3
candidate 2
career 2
carter 2
children 1
climb 1
closed 1
college 1
come 3
complicated 1
conclusion 1
could 1
danger 1
deceived 1
decided 1
deeply 1
demoyte 1
depicted 1
developed 1
did 2
didnt 1
dinner 1
director 1
discharged 1
don 1
donald 3
door 1
doors 1
dreamt 1
exhibition 1
expelled 1
failed 1
family 3
father 1
feelings 1
felicity 1
fella 1
finished 1
first 1
former 1
friend 1
friends 1
from 1
gipsy 2
go 1
got 1
had 3
happy 1
have 2
he 11
head 1
her 9
him 1
his 10
history 1
home 1
house 1
husband 2
impressed 1
in 4
is 1
it 2
kept 1
knees 2
late 1
latin 1
loved 1
lovers 1
made 1
married 1
mor 7
nan 6
not 3
of 4
on 1
once 2
opportunity 1
painter 1
paris 1
party 1
person 1
pictures 1
portrait 2
praised 1
quickly 1
rain 8
ran 2
really 1
relations 2
river 1
ruin 2
save 1
saved 1
saw 2
school 3
schooltower 1
she 4
show 1
showed 1
slept 1
small 1
so 1
son 1
staying 1
still 1
strucked 1
study 1
tburke 1
teacher 1
that 2
the 7
them 1
there 2
they 3
tim 1
time 1
to 14
together 1
tour 1
town 1
two 1
unlocked 1
up 1
very 1
visited 1
want 1
wanted 4
was 12
went 1
were 1
when 1
who 2
wife 2
with 4
young 1
