19128365
/m/04jb25_
/m/04jb25_
Val McDermid

a 3
abducted 1
affections 1
and 4
angelica 2
anonymous 1
apparent 1
are 2
areas 1
as 2
avoid 1
be 2
becomes 2
being 2
bodies 1
bradfield 1
brutal 1
by 1
caller 1
calls 1
carol 1
city 1
complicated 1
criminal 1
death 1
desire 1
detective 1
develops 1
do 1
dr 2
english 1
feelings 1
fictional 1
figures 1
for 2
forces 1
found 1
frequented 1
frequently 1
gay 1
has 1
he 3
her 4
hill 2
him 1
his 1
in 4
including 1
increasingly 1
inspector 1
investigation 1
involved 1
is 2
it 2
joins 1
jordan 1
kidnapped 1
killer 2
kills 2
loved 1
medieval 1
men 3
murdered 1
mysterious 1
named 1
next 1
not 1
of 2
out 1
own 1
phone 1
police 1
problems 1
profiler 1
recruit 1
reluctantly 1
return 1
revealed 1
romantic 1
seeking 1
selfdefence 1
sex 1
techniques 1
that 2
the 8
then 1
to 4
tony 5
tortured 2
transsexual 1
uses 1
using 1
victim 1
weakness 1
when 1
who 2
whom 1
with 1
woman 2
women 1
