11513635
/m/02rggft
/m/02rggft
Shusaku Endo
1966
{"/m/02p0szs": "Historical fiction"}
1638 1
a 8
about 1
act 1
after 1
against 1
am 1
anazuri 1
and 10
apostasy 3
apostatized 1
appealingly 1
are 3
arrive 1
as 3
at 2
based 1
be 1
beautiful 1
being 1
betrayed 1
bled 1
breaks 1
by 6
carved 1
chiara 1
christ 3
christian 1
christianity 1
christians 3
church 1
circumstances 1
climax 1
committed 1
companion 1
cristvo 1
crudely 1
deeply 1
different 1
do 1
down 1
driven 1
endurance 1
exhaustedthe 1
eyes 1
face 5
feet 1
ferreira 3
figure 2
filled 1
finally 1
find 1
force 1
fr 3
francisco 1
from 1
fumie 3
garrpe 1
gazed 2
giuseppe 1
glory 1
goa 1
had 2
hardship 1
has 2
here 1
hidden 1
him 1
his 4
historical 2
hung 1
i 1
image 1
images 1
imprisoned 1
in 8
increasing 1
investigate 1
is 5
it 5
japan 2
japanese 1
jesuit 1
judaslike 1
kichijiro 1
killed 1
later 1
lay 1
learnt 1
local 2
looks 1
macau 1
made 1
majesty 1
man 1
married 1
mentor 1
more 1
neither 1
nor 1
not 1
novel 1
of 6
officials 1
often 1
on 5
over 1
pain 1
pit 1
population 1
portugal 1
portuguese 1
priest 1
refuse 1
relates 1
repelled 1
reports 1
rodrigues 6
rome 1
sebastio 1
security 1
sent 1
shamed 1
silence 1
slowly 1
so 1
sorrow 1
spoke 1
stay 1
step 1
strength 1
succor 1
suffered 1
sunken 1
suspected 1
temptation 1
that 4
the 16
their 1
then 1
there 1
they 1
those 2
to 6
torture 1
trample 3
trampled 1
treatise 1
trials 1
underground 1
up 1
upon 1
upside 1
utterly 1
was 6
which 2
who 4
whose 1
will 1
with 2
woman 1
wrote 1
yet 1
you 1
young 1
