6492413
/m/0g7frh
/m/0g7frh
Kingsley Amis
1976
11 1
114118 1
170s 1
176 1
18481850 1
1853 1
a 28
able 1
abominable 1
abortive 1
absolute 1
access 1
acclaimed 1
accountable 1
across 1
administered 1
adrianople 1
advertise 1
affair 1
after 3
albeit 1
all 1
allan 1
allowed 1
allows 1
allusion 1
almaigne 1
also 4
alterations 1
alternate 1
alternative 3
although 3
amalgam 1
americans 1
amis 5
among 1
an 5
and 43
anthony 2
antisemitism 1
anvil 2
apartheid 1
aragon 1
archpresbyter 1
are 9
argues 1
arnold 1
arnoldstown 1
art 1
arthur 1
as 21
ascended 1
at 7
attitudes 1
authorities 1
authority 1
authors 1
ayer 1
bacteriological 1
banned 1
basilica 1
be 1
became 1
beckons 1
become 1
becoming 1
been 1
beethoven 1
being 1
believable 1
benedict 1
benn 1
beria 1
berlinguer 1
between 1
birth 1
blake 1
body 1
bond 2
book 5
books 1
both 1
boundaries 1
boy 1
bradford 1
brazil 1
breakaway 1
bridge 1
britain 1
british 1
brother 2
brown 1
brussels 1
but 1
by 6
called 1
can 1
candia 1
cannon 1
capital 1
carries 1
castel 1
castrati 1
castration 1
catherine 1
catholic 3
century 1
chalices 1
channel 1
chaplain 1
character 1
characters 2
childhood 1
choice 2
chorister 2
christianmuslim 1
church 8
cites 1
citizen 1
city 1
clergy 1
clerical 2
cloisters 1
coda 1
cold 2
collection 1
college 1
colonialism 1
combined 1
combustion 1
composer 1
concessions 1
conclude 1
conservative 1
contrast 1
control 1
controlled 1
convocation 1
corin 1
coverley 2
cowley 1
cranmer 1
cranmeria 1
created 1
creativity 1
crete 1
crown 1
crusade 1
culminating 1
cultural 1
dauphin 1
deceased 1
decree 1
decuman 2
democracy 1
description 1
designated 1
despite 2
destructive 1
details 1
did 2
died 1
diesel 1
direct 1
dirty 1
discloses 1
disguised 1
dissident 1
divergences 1
dogmatic 1
dominates 1
domination 2
drawn 1
due 1
during 2
ecclesiastical 2
edgar 1
edward 1
either 1
electricity 1
emperor 2
empire 2
end 1
ended 1
engine 1
england 7
english 2
enrico 1
equivalent 1
escape 1
ethnic 1
europe 3
events 2
exactly 1
example 2
exiled 1
existence 1
exists 2
extent 1
family 1
far 2
father 2
feared 1
features 1
federicus 1
fellowauthor 1
fifteen 1
figures 3
finally 1
fire 1
first 1
fodder 1
foot 1
for 5
forced 2
forces 1
form 1
freedom 1
french 1
friend 1
friends 1
fritz 1
from 7
fun 1
funeral 1
gandolfo 1
general 2
george 1
german 1
germanian 1
germany 1
gestapo 1
gifted 2
good 1
got 1
greater 1
greece 1
greek 1
growth 1
gulliver 1
had 1
hadrian 1
hamlet 1
harold 1
harrison 1
harry 1
harsh 1
has 6
have 4
he 3
head 1
headquarters 1
heat 1
heinrich 1
heir 1
held 1
henricus 1
henry 1
here 2
hierarchy 2
himmler 1
himself 1
his 7
historical 1
history 5
hockney 1
holds 2
holman 1
holy 3
hours 1
however 2
hubert 6
human 1
hunt 1
huss 1
hussville 1
i 1
identify 1
identity 1
ideology 1
ii 1
iii 1
illicit 1
illustrated 2
imperialism 1
imply 1
in 26
incidental 1
include 1
includes 2
increasingly 1
india 1
infected 1
insight 2
instead 1
integrity 1
interest 1
internal 1
into 2
invention 1
inventors 1
ireland 1
is 29
isles 2
it 1
italian 1
its 3
j 1
james 1
jan 1
jeanpaul 1
jesuits 1
jews 1
john 4
joseph 1
jurisdiction 1
just 1
kgb 1
king 1
kings 1
kipling 1
knowledge 1
known 4
kyd 1
late 1
later 1
latin 1
laurentius 1
lavrentiy 1
leads 1
learn 1
least 1
lemuel 1
liberal 1
liberals 1
lies 1
limited 2
literally 1
lithuania 1
lived 1
locations 1
london 1
lord 3
lost 1
louisiana 1
lupigradus 1
luther 2
machiavellian 1
main 2
make 1
malthusian 1
many 1
marry 1
martin 1
may 3
meant 1
mention 1
mentioned 3
mexico 1
minded 1
mirabilis 1
misgivings 1
moment 1
monarchy 1
monsignor 1
monsignors 1
more 2
mother 1
mozart 1
much 2
muscovy 1
musical 1
musicians 1
must 1
named 3
naples 1
narrow 1
national 2
nationstate 2
native 2
nephew 1
new 4
no 1
not 5
novel 2
novels 1
obscure 1
occupation 1
of 58
offered 1
office 3
officers 1
older 2
on 1
one 4
only 1
opening 1
opens 1
operalovers 1
operatives 1
opposes 1
or 2
original 1
orthodox 1
other 1
ottoman 3
ottomans 1
out 1
outside 1
over 2
own 2
oxford 1
papacy 5
papal 2
parliamentary 1
passing 1
patriarch 1
paul 1
penal 1
performed 1
perished 1
permitted 1
pivotal 1
place 1
plan 1
planned 1
pleasure 1
plot 1
poe 1
point 1
policies 1
political 2
pope 6
population 2
portugal 1
possibility 1
practising 1
precious 1
preferences 1
preserve 1
presides 1
prince 2
prior 1
produced 1
professor 1
prohibition 1
protestant 2
protestantism 1
puberty 1
questions 1
real 1
realities 1
recently 1
reconciled 1
redgrave 1
reference 2
references 2
reflect 1
reformation 1
religious 2
remarkable 1
reminiscent 1
represses 1
repressive 1
republic 1
resolve 1
restore 1
reveals 1
rightful 1
rings 1
roman 1
rome 2
royal 1
rudyard 1
rule 1
ruled 1
sacrifice 1
saint 1
same 1
sartre 1
scene 1
schismatic 1
science 1
scope 1
seclude 1
secondly 1
secretary 1
section 1
separate 1
set 3
setting 1
seven 1
severely 1
sexual 1
shakespeare 1
shelley 1
shortlived 1
significant 1
singer 1
singers 1
small 1
some 2
son 1
sopwith 1
sort 1
spain 1
spark 1
st 1
stansgate 1
stars 1
state 3
stephen 2
still 5
strength 1
strong 2
submit 1
subordinated 1
succession 1
such 4
suggesting 3
suggests 2
superb 1
suppressed 1
surplus 1
survived 1
survives 1
sway 2
sweden 1
swish 1
system 1
take 1
takes 1
talents 1
teachers 1
technology 1
temporal 1
tenyearold 1
territorial 1
text 1
that 14
the 98
their 3
themselves 1
theocracy 1
theology 1
there 5
thinly 1
this 10
thomas 4
throne 1
timeline 1
title 1
to 31
tony 1
too 1
totalitarian 1
towards 2
tragedy 1
train 1
travels 2
tried 1
troops 1
tsarism 1
tudor 1
turkey 1
turned 1
twentieth 1
two 4
under 2
undergo 1
underscoring 1
union 1
unpleasant 1
until 1
up 2
usurp 1
value 1
vatican 1
version 1
versions 1
via 1
viaventosa 1
vicar 1
viceroys 1
victory 3
vii 1
vividly 1
voice 1
waldensia 1
waldensians 1
war 6
warfare 1
was 7
way 1
ways 1
we 1
wear 1
well 1
were 1
west 2
western 2
when 3
which 9
while 3
who 2
whom 1
whose 1
will 1
william 1
willows 1
wilson 1
wind 2
windgassen 1
with 4
without 1
wolfgang 1
word 1
work 1
works 1
world 6
writing 1
wunderlich 1
wyclif 1
wycliffe 1
xxiv 3
years 1
yellow 1
york 1
yorkshireman 1
