10288002
/m/02q7hbb
/m/02q7hbb
Michael Crichton
1969
a 9
acquaintance 1
acquire 1
advantage 1
after 1
agrees 1
alive 1
and 6
are 2
arent 2
artifacts 1
as 3
at 3
attempts 1
bad 2
based 1
be 1
because 1
been 1
begins 1
better 1
bodyguard 1
brash 1
but 2
by 3
can 1
cargorare 1
chance 1
charles 7
comes 1
companies 1
confused 1
content 1
daysraymond 1
deceased 1
does 2
dont 1
drug 1
easiest 1
end 1
enemy 1
enlisted 1
exceptional 1
exporting 1
fan 1
father 1
finds 1
for 2
fortune 1
from 1
further 1
gets 1
good 3
guise 1
guy 1
guys 3
handler 1
has 1
he 8
held 1
help 2
hide 1
his 7
identity 1
in 3
into 1
is 9
isnt 2
it 3
killed 1
life 1
living 1
longlost 1
may 1
medical 1
mexican 1
mexico 2
mildly 1
money 1
more 1
no 1
of 7
often 1
only 1
or 1
other 1
out 2
own 1
piercea 1
probes 1
promiscuous 1
protect 1
protecting 1
rat 1
raymond 1
real 1
really 1
research 1
researchtheir 1
rest 1
reunion 1
richard 5
richards 1
ruse 1
school 1
seem 1
seems 1
selfpreservation 1
series 1
simply 1
situation 1
sketchy 1
skill 1
skills 1
smell 1
smuggler 1
smuggling 1
snake 1
snakes 2
so 1
stay 1
stepmother 1
stop 1
successful 1
such 1
suspicious 1
talents 1
target 1
that 1
the 15
they 1
things 1
thwarted 1
time 1
to 8
trust 1
under 1
universities 1
until 1
upon 1
use 1
used 1
uses 1
venom 1
very 1
wants 1
ways 1
what 3
when 1
which 1
who 3
whom 2
widowed 1
with 2
womanizing 1
