3016212
/m/08kr5j
/m/08kr5j
Ernesto Sabato
1961
{"/m/05hgj": "Novel"}
1 1
a 2
aires 2
alejandra 1
amid 1
an 1
and 4
argentina 1
autochthonous 1
boy 1
buenos 2
castillo 1
city 1
colonial 1
evocative 1
falls 1
father 1
fernando 1
find 1
from 1
gives 1
he 1
her 1
his 1
in 2
is 1
it 1
its 1
life 1
love 1
martn 1
meets 1
mutating 1
new 1
novel 1
of 3
old 1
olmos 1
path 1
people 1
portrait 1
represents 1
seen 1
story 1
strange 1
tells 1
the 4
to 1
trying 1
unsettling 1
vidal 1
which 1
who 1
with 2
world 1
yearold 1
