19550892
/m/04n1s54
/m/04n1s54
John Ringo

{"/m/01smf2": "Military science fiction"}
a 35
able 2
about 1
accompanied 1
activity 1
actually 1
adar 5
adopt 1
advisors 1
after 2
against 1
ahead 1
airstrikes 1
alien 2
aliens 2
all 1
allow 1
allowed 1
also 1
among 1
an 5
and 17
another 3
answers 1
antibodies 1
anything 1
apparent 1
appears 1
are 10
area 1
arm 1
armor 1
army 1
around 3
as 6
at 7
attacks 1
authorizes 1
away 1
awe 1
bad 1
barely 1
based 1
be 1
because 1
begin 2
begins 2
begun 1
being 1
black 2
blocks 1
body 1
bomb 2
boson 1
box 1
breaking 1
breathing 1
bug 1
but 2
by 1
call 2
came 1
can 2
carrying 1
casualties 1
center 1
central 1
changing 1
chen 1
chief 1
choose 1
clearance 1
close 2
cloud 1
combat 1
comes 2
command 1
communicate 1
contact 2
contacted 1
contain 1
containing 1
continually 1
count 1
counterattack 1
country 1
crater 1
create 1
creatures 1
cultures 1
daily 1
day 1
deadly 1
defense 1
defenses 2
degree 1
demons 1
department 1
deploy 1
despite 1
destabilizing 1
destroy 1
destroying 1
detonation 1
devastation 1
development 1
die 1
dies 1
disaster 1
discover 3
discovered 1
discuss 1
do 1
down 1
dr 1
draw 1
dreen 7
each 1
earth 2
effect 1
electricity 1
emergency 1
emp 1
emperor 1
energy 2
equivalent 1
essentially 1
eventually 1
every 1
everything 1
explains 2
explorations 1
explored 1
explosion 4
exponentially 1
exposed 1
feint 1
felinoid 1
few 2
fierce 1
fighting 2
find 1
first 3
florida 3
food 1
for 1
forces 5
formed 1
friendly 2
from 2
fungus 1
gate 9
gates 5
get 1
getting 1
giant 1
girl 1
give 2
glass 1
glasses 3
go 1
goes 2
grab 1
had 2
happened 1
has 1
have 5
having 1
he 2
her 5
higgs 1
high 1
him 1
his 1
hostile 1
hovering 1
however 3
howl 1
huge 1
human 3
humans 5
if 1
important 1
in 9
increasing 1
incredibly 1
indications 1
intelligent 1
interesting 1
into 2
investigate 1
is 9
isnt 1
it 10
its 2
killing 2
language 1
later 2
laws 1
less 1
lines 1
link 1
little 1
look 1
looking 4
lower 1
makes 1
manage 1
mankind 1
master 1
meanwhile 1
meet 1
members 1
metallic 1
mile 1
military 2
miller 1
mimi 2
more 1
mree 9
mushroom 1
must 1
name 1
named 1
near 1
nearby 1
need 2
new 2
no 2
not 2
novel 1
nuclear 2
nuke 3
nutrients 1
occurs 1
of 23
off 3
on 8
once 1
oncoming 1
one 3
only 1
open 2
or 2
organism 1
other 6
others 1
out 2
output 1
over 3
overwhelm 2
own 1
panicked 1
particle 1
people 1
person 1
personnel 1
pest 1
physicist 1
physics 2
planet 1
populated 1
powered 1
president 2
prisoner 1
probability 1
problem 1
problems 1
produces 1
pronounce 1
properties 2
prove 1
provide 2
provided 1
quickly 1
race 3
radiation 1
ray 1
reach 1
realize 1
remaining 1
representative 1
respond 1
responders 1
response 1
resulting 1
retaliation 1
right 1
room 1
rubble 1
rush 1
science 1
seal 3
seals 1
second 1
secret 1
seem 1
seems 2
sent 2
sequels 1
serious 1
set 1
several 1
shoot 1
shoulder 2
side 2
site 1
slave 1
small 2
so 1
some 1
something 1
soon 1
space 1
speaking 1
species 2
sphere 1
spider 2
spot 1
spots 1
spread 1
spreading 1
stand 1
start 1
starvation 1
steps 1
stop 1
strange 1
strikes 1
succeeded 1
suicide 1
suit 1
suits 1
survive 1
survivors 1
take 1
taken 1
takes 1
tchr 1
team 3
tearing 1
technological 1
telepathic 1
temperamental 1
temporarily 1
than 1
that 16
the 68
their 3
them 2
then 1
there 1
these 2
they 16
this 2
though 1
thoughts 1
through 9
thunder 1
titcher 6
to 29
top 1
traces 1
triggers 1
trouble 1
unguarded 1
units 1
universe 1
university 4
unknown 1
upon 1
us 1
various 1
walking 1
wanting 1
was 1
wave 1
weapon 2
weaver 8
when 1
whether 1
which 1
while 1
will 1
william 1
with 9
within 2
without 1
word 1
working 1
world 1
worlds 1
yet 1
