20222362
/m/04ycr3s
/m/04ycr3s
Ngũgĩ wa Thiong'o
1977
{"/m/05hgj": "Novel"}
a 27
abdulla 5
abdullah 3
about 2
after 4
again 2
alcoholism 1
alight 1
all 2
already 1
an 4
ancient 1
and 38
another 3
appears 1
arduous 1
are 10
area 1
arrive 2
arrives 3
arriving 1
arson 1
as 9
associations 1
at 1
attempt 2
attempts 1
attendance 1
attention 1
attractive 1
attracts 1
away 2
back 1
ballad 1
banks 1
bar 4
barmaid 2
be 1
because 1
becomes 1
been 1
before 2
beggars 1
begin 3
begins 3
between 1
blackmails 1
blood 4
book 1
both 1
boy 2
brews 1
brief 1
bring 1
brings 1
brothel 4
brother 2
build 1
building 1
burn 1
business 1
businessman 1
businessmen 1
but 4
buys 1
by 7
called 2
car 1
carves 1
case 1
celebrate 2
change 2
changed 1
changes 2
chapter 1
characters 1
charities 1
chastises 1
chauffeur 1
child 1
chosen 1
city 1
class 1
classroom 1
colour 1
come 3
comes 1
coming 1
commits 1
connection 1
correspondence 1
corrupt 1
could 1
couple 1
court 1
crashes 1
dances 1
deadly 1
demagogue 1
demand 1
departure 1
derek 1
derived 1
describe 2
describing 1
despite 3
development 1
died 1
dies 1
disagreeing 1
disillusioned 1
do 2
donations 1
done 1
donkey 1
down 2
downtrodden 1
draws 1
drink 4
due 1
during 3
each 2
educate 1
educator 1
enact 1
ensure 1
escapes 1
escaping 1
every 1
expanding 1
expense 1
experienced 1
exploited 1
fact 1
factory 2
fall 1
family 1
fantasies 1
farmers 1
father 1
feelings 1
fence 1
fervour 1
finally 3
finite 1
fire 2
fired 2
first 2
flames 1
flower 1
focusing 1
for 9
forced 2
four 1
friendship 1
from 7
further 1
fury 1
getting 1
give 1
goes 2
good 1
government 1
granddaughter 1
groups 1
grows 1
gunned 1
had 3
harmoniously 1
harsh 1
harvest 2
have 6
he 11
hears 1
help 3
her 10
herself 2
highlights 1
hill 1
him 2
himself 1
his 10
hospitalized 1
house 1
how 1
however 2
humans 1
ill 1
ilmorog 12
immigrant 1
in 27
increase 1
inhalation 1
initially 2
inspired 1
into 5
invited 1
involvement 1
is 22
it 6
its 1
jealousy 1
joseph 1
journey 2
jumping 1
just 1
karega 14
kenyans 1
killed 1
kimeria 1
lady 1
land 3
large 1
later 4
lawyer 2
league 1
learns 1
leave 1
leaves 3
life 2
line 1
linked 1
little 1
live 2
loans 1
local 1
looked 1
love 2
main 1
making 1
many 1
mariamu 1
married 1
mau 2
meanings 1
meanwhile 1
meet 1
men 2
merely 1
met 3
money 1
more 1
mortgage 1
most 1
move 2
moves 1
mp 4
much 1
mukami 3
munira 15
must 1
nairobi 5
national 1
nature 1
new 1
next 1
ngugi 1
no 2
noble 1
not 2
nothing 1
notices 1
notoriety 1
novel 2
nyakinyua 3
of 22
off 1
offered 1
old 1
older 1
oldest 1
on 4
once 1
one 4
only 2
opens 1
order 2
originally 1
other 3
others 1
out 2
own 1
owns 1
partner 1
parts 1
pay 1
pays 1
people 2
petals 3
petrol 1
phrase 2
plane 1
plans 1
plant 1
pleas 1
plight 1
poem 2
poor 2
post 1
pour 1
pours 1
power 1
predicament 1
present 1
press 1
prevent 1
previous 1
prominent 1
prostitutes 2
pupil 1
quarry 1
quarter 1
question 1
questioned 1
quickly 2
rain 1
rains 2
rapes 1
rapid 1
realise 1
rekindle 1
relating 1
relationship 2
release 1
religious 1
reshaping 1
respected 1
retreats 1
returns 2
reveals 1
revelation 1
revered 1
reverend 1
rituals 1
road 1
romance 1
rounded 1
ruthless 1
same 2
sample 1
saying 1
schemes 1
school 2
securing 1
see 3
seek 2
sees 1
sell 1
sells 1
sent 1
sentenced 1
separate 2
sets 1
several 2
sex 1
sexual 1
she 4
shop 3
should 1
sick 1
siriana 1
sister 1
slow 1
small 1
smoke 1
so 1
some 1
soon 2
speaking 1
spiral 1
starts 1
stays 1
still 1
story 2
strong 1
subsequently 1
successful 1
suggest 1
suggests 2
suicide 1
survey 1
suspicion 1
swamp 1
take 1
taken 1
talk 1
teacher 2
teachers 1
teaching 1
telling 1
tells 1
than 1
thangeta 2
that 15
the 70
their 8
them 2
then 2
there 3
they 10
think 1
thinks 1
this 5
three 1
through 2
throughout 1
time 2
timeline 1
times 1
title 2
to 47
told 1
too 1
town 3
trade 1
transafrica 1
trying 1
turned 1
turnout 1
two 1
unclear 1
unknown 1
up 3
upon 1
used 2
varying 1
very 1
victim 1
village 4
villagers 7
villages 1
virginity 1
waiting 1
walcott 1
wanja 11
wanting 1
was 1
watch 1
watching 1
way 1
weather 1
well 1
when 1
where 1
which 3
whilst 1
who 9
why 1
will 2
wishes 1
wishing 1
with 15
within 1
work 3
worked 1
wreckage 1
year 1
