157837
/m/014sfd
/m/014sfd
Luo Guanzhong

263 1
265 1
280 1
a 38
abdicate 1
accept 1
accordance 1
accused 1
achieve 1
achievements 1
advised 1
advisers 1
advisor 1
advisors 1
after 19
again 1
against 7
agreement 1
aka 1
all 4
allegiance 2
alliance 2
allied 1
allows 1
along 2
already 2
also 3
although 1
ambitions 1
ambush 2
among 2
an 8
anarchy 1
and 79
another 2
any 3
appears 1
appease 1
appointed 2
are 9
area 1
armies 3
army 5
arrive 1
as 19
ask 1
assassinate 1
assassinated 1
assisted 1
at 10
attack 5
attacks 1
attempt 1
attempts 4
authority 2
avenge 2
away 2
back 1
baidicheng 1
barbarian 1
barely 1
base 1
battle 11
be 4
beautiful 1
beauty 1
became 1
become 1
becomes 4
been 4
before 3
begin 2
bei 22
being 2
best 1
betrayed 1
between 3
biao 3
bitter 1
bloodline 1
bloodshed 1
both 3
brain 1
break 1
breaks 1
brief 1
brother 2
brothers 1
bu 3
build 2
builds 2
but 14
buy 1
by 24
calling 1
campaign 4
campaigns 2
cao 70
caos 1
capable 1
capital 1
captured 2
career 1
carry 1
cataclysmic 1
caught 1
ce 2
central 3
centurylong 1
chancellor 1
changan 1
changes 1
chaos 1
characters 1
charge 2
charging 1
charismatic 1
che 1
chenliu 2
child 1
china 3
chronic 1
city 1
civil 2
civilians 1
clan 1
clash 1
cliffs 1
coalition 1
come 1
command 2
commander 2
common 1
complexity 1
concluded 1
condition 1
conflict 3
conquered 2
conquests 1
consists 1
contains 1
continues 1
control 3
controlled 1
conversation 1
cooperate 1
coordination 1
corrupt 1
country 1
county 1
couple 1
court 1
da 1
days 1
deal 1
death 7
deathbed 1
decades 1
deceive 1
decides 2
declares 1
decline 1
defeat 3
defeated 4
defeating 1
defeats 2
defected 1
defection 1
defector 1
delivers 1
deng 1
deposes 1
desert 1
desperation 1
despite 1
deteriorate 1
deterioration 1
diaochan 1
dies 4
different 1
diplomatic 1
disappear 1
disintegrating 1
dismisses 1
dispute 1
do 1
does 1
dong 10
drive 1
due 1
duke 1
during 1
dynasty 8
each 3
east 1
eastern 5
edict 1
effectively 1
efforts 2
eighteen 1
eldest 1
emissaries 1
emperor 13
empire 2
encounter 1
encountering 1
end 1
ending 2
enemy 2
ensuing 1
envoy 1
envoys 1
era 1
escape 1
establishes 3
eunuchs 3
even 1
eventually 5
ever 1
exchange 2
excuses 1
executed 2
exodus 1
expeditions 1
exposed 1
extreme 1
extremely 1
fail 1
fails 4
faith 1
faithful 1
fall 1
falls 1
falsely 1
family 1
famous 2
fancheng 1
fearing 1
feels 1
fei 2
few 1
fight 1
final 2
finally 1
finds 2
five 2
foiled 1
followers 1
following 2
foothold 1
for 18
force 2
forced 1
forces 9
forcing 1
ford 1
forever 1
form 2
formally 1
former 1
foster 1
found 1
foundation 2
founded 1
freedom 1
from 13
fu 1
fulfilling 1
further 2
future 3
garden 1
general 2
generalinchief 1
generals 1
genius 1
ghost 1
goals 1
gongsun 2
good 1
government 2
governor 2
governors 1
gradually 2
granted 1
grants 1
greatest 1
growing 1
guan 8
guandu 1
guard 1
guards 1
had 4
han 21
hand 1
hands 1
hanzhong 2
