31125628
/m/0gh7hm9
/m/0gh7hm9
Steve Barlow
2002
a 4
across 1
and 3
apprentice 1
at 1
beautiful 1
becomes 1
being 1
bottom 1
causes 1
coma 1
dark 1
destiny 1
discover 1
dreams 1
dreamwalker 1
dun 1
encounters 1
far 1
forest 1
from 1
great 1
havoc 1
he 2
her 1
his 2
indewood 1
into 1
is 1
it 1
lady 1
leafy 1
learns 1
magician 1
must 1
mysterious 1
newfound 1
of 3
only 1
puts 1
save 1
secret 1
skill 1
suburb 1
superspeed 1
that 1
the 5
to 1
travel 1
travelling 1
true 1
tym 2
when 2
whizzard 1
wizard 1
zamarind 1
