11281629
/m/02r66l7
/m/02r66l7
Djuna Barnes
1936
a 4
abandoned 1
altar 1
america 2
an 3
and 8
anonymity 1
attempting 1
attention 1
away 2
baron 1
before 3
begins 2
birth 1
but 1
by 2
camping 1
carry 2
causes 1
church 1
conflicts 1
constant 1
counsel 1
despair 1
discovers 1
does 1
dog 2
door 1
dr 1
driven 1
during 1
enter 1
europe 1
european 1
false 1
family 1
feels 1
felix 2
finally 1
flings 1
flood 1
floor 1
focuses 1
for 1
forest 1
four 1
frolic 1
from 3
gains 1
guido 1
happiness 1
has 1
having 1
heir 1
her 6
his 1
hits 1
home 1
in 5
is 3
jamb 1
jenny 2
joy 1
kneeling 1
knocked 1
later 1
life 1
like 1
loss 1
love 1
lover 1
marries 1
matthew 1
meets 2
more 1
move 1
moves 1
name 1
nervously 1
night 1
nights 1
nightwood 1
nobility 1
nora 7
not 1
nothing 1
oconnor 1
of 7
old 1
on 4
one 1
others 1
over 1
paris 1
peacefully 1
petherbridge 1
realize 1
recover 1
relationship 1
remain 1
return 1
returned 1
robin 9
romantic 1
search 1
secure 1
she 6
sleep 1
some 1
son 1
spends 1
stealing 2
story 1
strangers 1
succeeds 1
succumbing 1
such 1
than 1
that 1
the 11
their 1
this 1
time 1
times 1
to 12
together 1
torment 1
traditions 1
turns 2
two 1
unable 1
unconscious 1
uphold 1
volkbein 1
vote 1
waits 1
wants 1
when 1
where 2
while 1
who 2
widow 1
wish 1
with 4
woman 1
