625603
/m/02y1f7
/m/02y1f7
Bogomil Gjuzel


a 3
also 1
and 8
answer 1
archetypes 1
are 1
arranged 1
as 3
at 1
balkan 1
battle 1
be 1
beautiful 1
bogomil 1
but 1
by 1
can 1
charles 1
clarify 1
classical 1
complex 1
confusion 1
country 1
cultural 1
deals 1
despair 1
devastation 1
doom 1
dzyuzel 1
easy 1
especially 1
evernew 1
evil 1
face 1
family 1
fine 2
first 1
for 3
found 1
from 1
gjuzel 3
gloom 1
great 1
greatest 1
historical 1
history 2
hopelessness 1
how 1
humanity 1
illuminating 1
illustrates 1
impending 1
in 6
increasing 1
infinity 1
injustices 1
introduction 1
is 3
it 1
its 1
jesus 1
landscape 1
last 1
life 1
like 1
live 1
living 2
lyric 1
makes 1
midst 1
monuments 1
moving 1
naked 1
nature 1
no 1
notes 1
of 13
only 1
permeates 1
poems 3
poet 1
poetry 1
politics 2
portrayals 1
pronounced 1
prose 1
publication 1
recent 1
record 1
refers 1
region 1
reliable 1
religious 1
republic 1
roots 2
search 2
second 1
section 3
sense 2
simic 1
speaks 1
staring 1
story 1
sufferings 1
survival 1
the 18
their 1
there 1
these 2
times 1
to 2
tortured 1
tragic 1
translations 1
troy 1
verse 1
violence 1
what 2
which 1
with 3
work 1
