9816569
/m/03hfxwc
/m/03hfxwc
Markus Zusak
2002-01-10
a 13
about 2
accidentally 1
ace 5
address 1
addresses 1
after 1
all 3
almost 1
an 3
and 7
are 1
as 3
at 1
audrey 1
bank 1
because 1
become 1
begins 1
best 2
book 1
but 2
by 1
card 3
cards 2
cares 1
chances 1
character 1
clear 1
clues 1
comfort 1
complete 1
confident 1
contains 1
control 1
cryptic 1
date 1
deciphers 1
diamonds 1
different 2
dismay 1
downandout 1
driver 1
each 2
ed 5
escape 1
every 1
feels 1
finally 1
foils 1
follows 1
form 1
friend 1
friends 1
from 2
girl 1
greatest 1
has 1
he 8
her 2
hero 1
him 2
his 5
hopelessly 1
how 1
husband 1
im 1
in 6
instead 1
introduction 1
is 9
isnt 1
it 4
joker 1
kennedy 1
lady 1
last 3
learns 1
life 1
lines 1
list 2
lonely 1
love 1
made 1
mail 2
message 3
messenger 2
more 1
movie 1
much 1
must 4
names 1
night 1
not 1
novel 1
of 11
often 1
old 1
on 4
own 1
place 1
playing 1
potential 1
proclaimed 1
queue 1
raped 1
realisation 1
receives 3
represent 1
robbers 1
robbery 1
save 1
saysim 1
second 1
series 2
she 1
shortly 1
show 1
source 1
standing 1
story 1
take 1
takes 1
tasks 3
taxi 1
teenage 1
that 3
the 20
these 2
three 1
throughout 1
times 1
titles 1
to 5
too 1
underage 1
unknown 1
when 1
who 3
with 3
woman 1
written 2
