30253685
/m/0gjbx2z
/m/0gjbx2z
Francis Godwin
1638
1610 1
a 8
account 1
america 1
an 1
and 5
are 1
astronomical 1
attraction 1
begins 1
between 1
bird 1
book 1
but 1
by 2
called 1
carefree 1
china 1
christian 1
considered 1
contains 1
dark 1
earlier 1
earth 1
ending 1
energy 1
escape 1
explains 1
fantastic 1
finds 1
for 2
galilei 1
galileo 2
gansas 1
godwin 3
gonsales 2
great 1
had 1
happy 1
how 1
in 5
influence 1
inhabited 1
initial 1
is 4
it 1
its 1
kepler 2
kind 1
life 1
like 1
live 1
magnetic 2
man 1
many 1
moon 3
moone 1
more 1
narratives 1
necessary 2
no 1
number 1
nuncius 1
of 4
on 3
once 1
one 1
only 1
paradise 1
pastoral 1
people 1
prologue 1
proper 1
proposes 2
provided 1
publication 1
purpose 1
push 2
seas 1
sidereus 1
similarities 1
somnium 1
spain 1
species 1
specifically 1
spots 1
starting 1
tall 1
than 1
that 3
the 11
theories 1
this 1
to 3
trained 1
travel 1
unlike 1
voyage 2
was 1
which 1
who 1
with 1
