22057814
/m/05p6bpb
/m/05p6bpb
Carl Hiaasen
2009-01-13

2500 1
3200 1
500 1
a 16
about 6
accused 1
after 2
against 1
alive 1
all 3
also 3
always 1
amazing 1
amusing 1
an 3
and 21
animals 1
any 1
are 5
arrest 2
arson 2
arsonist 1
arsonstherefore 1
assignment 1
asthma 1
at 1
author 1
away 4
baby 3
back 7
backpack 1
be 1
beaten 1
because 2
been 2
beginning 1
behavior 1
believe 1
believed 1
biology 2
black 2
board 1
book 1
bored 1
boy 1
bunny 2
bus 1
but 2
buy 1
by 5
called 1
cant 1
car 2
caring 1
carl 1
causing 1
charges 1
checks 1
children 1
chomps 1
class 3
classes 1
climbs 1
close 1
come 3
comes 2
company 4
controlled 1
corporation 1
cub 1
days 1
decide 1
decides 2
detective 5
diamond 1
directors 1
discover 1
discovered 1
discovering 1
do 1
dodges 1
doesnt 1
dont 1
dr 6
dressler 6
driving 1
dropped 1
duane 12
early 1
emergency 2
end 2
endangered 1
energy 1
evading 1
even 2
everyone 1
except 1
excuse 1
expects 1
face 1
falls 1
family 3
far 1
feared 1
feet 1
fiction 1
field 1
file 1
filled 1
find 5
finds 4
fire 4
florida 1
flush 1
for 9
forest 1
found 2
framed 1
fresh 2
from 4
get 1
gets 3
give 1
gives 1
go 2
goes 2
good 1
great 1
ground 2
grows 1
gunshot 1
harsh 1
has 3
have 1
having 1
he 4
headmaster 2
hears 1
help 1
helps 1
her 3
hiaasen 1
him 3
hired 1
his 3
hits 1
hoot 1
hope 1
house 4
houselocated 1
humorous 1
if 1
illegal 1
image 1
immediately 1
in 16
incident 1
including 1
inhaler 1
into 2
investigate 2
investigator 1
investigators 1
is 16
it 5
its 1
jail 1
jr 2
jump 1
just 2
kids 1
knew 1
know 1
known 2
land 1
later 2
leaves 1
left 1
letter 1
libby 1
libraries 2
light 1
lighter 1
lost 1
mailbox 1
man 2
marshall 3
marta 3
may 1
mean 1
meanwhile 1
meet 1
members 1
missing 2
mistakenly 1
model 1
mom 1
more 1
most 2
mother 4
motherthe 1
mrs 11
mrsstarch 3
mysterious 1
named 2
new 1
nick 6
nickmartasmokeand 1
nickname 1
no 1
not 1
notable 1
novels 1
of 12
off 2
office 1
oil 4
old 1
on 8
one 2
only 2
other 1
out 5
outeveryone 1
outside 1
over 2
pages 1
panther 10
pathto 1
pencil 1
person 1
pimplesshe 1
pirate 1
placed 1
poop 1
poor 1
prevent 1
previous 1
protagonist 1
public 1
purchase 1
ran 1
realizes 1
recording 1
red 1
reference 1
reports 1
rescuing 1
research 1
respect 1
responsible 1
rest 1
retrieve 1
return 3
returns 2
reunited 1
roused 1
running 1
saying 1
scared 1
scat 1
school 6
scrod 2
seat 1
secret 1
see 2
sees 1
sell 1
set 1
setting 1
she 11
shoot 1
since 1
smoke 5
so 2
some 1
something 1
soon 1
specific 2
spends 1
spree 1
starch 13
started 1
state 1
stolen 1
stop 1
store 2
stores 1
story 1
strange 1
stressful 1
student 1
students 2
substitute 1
supposed 1
swamp 3
takes 3
taxidermied 1
teacher 3
teachers 1
teaches 1
teaching 1
teachinginjured 1
that 14
the 54
their 1
them 4
there 1
they 9
think 1
thinks 1
thirties 1
this 2
to 29
too 2
torch 2
tracking 1
tree 1
tries 1
trip 1
trouble 1
truman 2
turns 1
twenty 1
twilly 6
two 3
up 1
video 1
view 1
vine 2
waiting 2
was 9
waters 1
waxmo 1
weeks 2
well 2
wendell 1
when 3
which 1
while 3
who 7
whole 1
whose 1
will 2
with 4
word 1
words 1
worries 1
worry 1
worrying 1
