31170742
/m/0gh8ctl
/m/0gh8ctl
Michael Hardcastle
1973
1 1
a 4
abelsmith 1
ability 1
action 1
addition 1
agree 1
although 1
amateur 1
an 1
and 5
another 1
ansell 1
attempts 1
bank 2
believes 1
between 1
boys 1
buying 1
by 1
cannot 1
choice 1
come 1
despite 2
fact 1
follows 1
football 2
for 1
fortunes 1
from 1
gary 1
hardcastle 1
have 1
he 1
his 1
impetuous 1
improve 1
in 1
includes 1
influence 1
interests 1
is 3
join 1
keith 1
kevin 2
loyalty 1
make 1
manage 1
motocross 1
nash 1
nick 2
no 1
obvious 1
of 3
on 1
pay 1
plan 1
player 1
players 1
princely 1
purchase 1
raise 1
reason 1
ripley 1
rival 1
sceptical 1
section 1
someone 1
striker 1
success 1
sum 1
talents 1
team 3
teammates 1
that 1
the 7
their 2
them 1
there 1
they 1
to 7
tough 1
united 3
unsettling 1
usual 1
vale 2
why 1
youth 1
