68863
/m/0hzpk
/m/0hzpk
Iain Banks
1996
1301 1
40 1
40year 1
80000 1
a 29
aboriginal 1
about 1
accompanying 1
acting 2
advanced 1
affront 9
after 1
along 1
also 2
an 8
and 22
animation 1
another 2
any 2
apparent 1
appears 2
are 3
area 2
arrived 1
arrives 1
as 12
aside 1
asked 1
asks 1
assesses 1
at 4
attack 1
attempts 1
attention 1
averted 1
badly 1
battles 1
be 3
because 1
becomes 1
been 3
behaving 1
being 2
beings 2
between 1
beyond 2
blackbody 1
book 2
breakup 1
bridge 1
brushed 1
bureaucrats 1
but 4
by 9
calls 1
cannot 1
carried 1
cause 1
challenge 1
changed 1
changes 1
charging 1
child 1
circumstances 1
citizens 1
civilisations 1
claim 1
combined 1
commander 1
commit 1
company 1
completing 1
concludes 1
conscious 1
considered 1
conspiracy 1
context 2
control 2
controlling 1
conversation 1
converted 1
converting 1
convincing 1
course 1
covert 1
cruelty 1
culture 18
curb 1
currently 1
dajeil 6
deal 1
dealing 1
decades 2
dedicates 1
demands 1
deploy 1
depression 3
describe 1
despite 1
disappearance 1
disappears 1
disturbance 1
doubleprongedit 1
dropout 1
during 2
easily 1
eccentric 4
edge 1
elements 1
elench 1
encountered 1
encounters 1
end 1
ended 1
engines 1
enlightened 1
enlightenment 1
enormous 1
entire 1
entity 1
epilogue 1
equivalent 1
even 1
events 3
eventually 1
excession 13
excuse 1
existence 1
explain 1
exploit 1
faced 1
fact 1
faction 1
far 1
fast 1
fatal 1
females 1
feticide 1
few 1
find 1
finding 1
finds 1
first 1
fleet 4
for 8
foresee 1
from 3
froze 1
further 2
gang 1
genarhofoen 8
given 1
grab 1
grey 1
gridfire 1
group 2
gsv 2
habitat 1
had 4
halt 1
handed 1
has 6
have 1
having 2
he 2
heads 1
help 4
hence 1
her 7
higher 1
historical 2
human 1
humanoid 1
idiranculture 1
imperative 1
in 13
infiltrating 1
informal 1
intend 1
intense 2
interesting 1
into 4
is 17
issue 1
it 27
its 16
itself 2
junior 1
keep 1
kill 1
large 1
later 1
led 1
loveaffair 1
lured 1
mainly 1
males 1
manage 1
manipulated 1
mass 2
massive 1
meaningful 1
means 1
meanwhile 2
member 2
metaphor 1
minds 2
mindstate 1
morally 1
more 2
most 2
mothball 1
mothballed 1
moves 1
moving 1
much 2
multilightyear 1
must 1
mysterious 1
mysteriously 2
name 5
normal 1
not 2
notably 1
number 1
numbering 1
object 1
obliterate 1
oceangoing 1
of 38
often 1
older 1
on 5
once 1
one 2
only 4
operated 1
operations 1
organization 1
other 1
our 1
out 3
outnumbered 1
outruns 1
outside 2
outwardly 1
over 1
own 2
part 1
partly 1
passenger 1
passengers 3
people 1
percentage 1
perfect 1
period 1
phrase 1
physically 1
populated 1
power 1
pregnancy 2
pregnant 2
prepares 1
presenting 1
pretext 1
previously 2
probe 1
proble 1
problem 1
procession 1
produced 1
prolonged 1
providing 1
psychological 1
pun 1
race 1
range 1
rapidlyexpanding 1
ready 1
recover 1
refuse 1
relatively 1
remained 1
remotecontrolled 1
resists 1
resources 1
response 2
responsible 1
rest 1
result 2
results 1
return 1
returns 1
reveals 1
rewarded 1
right 1
rush 1
sadism 1
same 1
saves 1
sc 1
scenery 1
scientists 1
sensor 1
sentient 1
serious 1
service 10
ship 6
ships 1
shores 1
situation 1
sleeper 11
sleeping 1
so 1
social 1
societies 2
society 1
some 2
space 1
spare 1
special 1
species 3
spent 3
sphere 1
started 1
state 1
stereotypical 1
stimulating 1
stole 1
storage 1
store 1
story 2
subject 1
subsequently 1
succeeded 1
successful 1
suddenly 1
suicide 1
suitable 1
suspended 1
systematic 1
tableaux 3
takes 2
talk 1
technologically 1
than 3
that 9
the 79
theft 1
their 1
them 1
themselves 1
then 2
there 1
this 3
thought 1
threat 1
threatens 1
thus 2
time 2
times 1
title 1
to 31
told 1
towards 2
transformed 1
transit 1
transmitted 1
trauma 1
travel 1
tried 1
tries 2
triggers 1
try 1
trying 1
turns 1
two 1
under 1
unfaithful 1
units 1
universe 3
universes 1
unknown 1
unloads 1
unresolved 1
until 1
use 1
using 1
vast 2
very 1
vessels 1
veterans 1
war 4
warfleet 1
warships 3
was 3
watch 1
watching 1
wave 1
what 2
when 3
whether 1
which 13
who 1
whom 1
whose 1
will 1
with 7
within 1
work 1
years 1
zetetic 1
