4311863
/m/0bwgxr
/m/0bwgxr
Sam Harris
2004
{"/m/022444": "Polemic"}
11 1
a 16
aberration 1
about 3
accident 1
account 1
action 1
adequately 1
admit 1
agents 1
ages 1
aids 1
all 1
allows 1
also 3
among 2
an 8
ancient 1
and 17
another 1
antisemitism 1
any 2
appear 1
approach 1
are 2
areas 1
argues 1
arguing 2
argument 1
armed 1
as 14
aspects 1
asserts 1
assessment 1
atrocities 1
attack 1
attitudes 1
augustine 1
be 8
bedroom 1
been 1
being 3
beings 1
belief 5
beliefs 1
believe 2
between 1
blame 1
bomber 1
bombing 1
both 2
brief 1
but 4
by 7
call 1
calls 2
can 5
cell 1
center 1
challenging 1
chapter 1
choice 1
chomsky 1
christian 3
christianity 1
church 1
claims 1
clear 1
clearly 1
code 1
coherent 1
collateral 2
communicating 1
communities 1
compares 1
competing 1
concerned 1
concludes 2
consciousness 1
consider 1
considered 1
contends 2
context 1
continues 1
controversial 2
creator 1
critical 2
criticises 2
criticism 1
critiques 1
cult 1
damage 2
damned 1
dangers 1
data 1
day 2
death 1
demonstrative 1
describes 3
destruction 1
developing 1
discusses 1
displaying 1
do 1
doctrine 1
does 1
domains 1
down 1
drawing 1
drift 1
drug 1
during 1
dwarfs 1
eastern 2
eat 1
element 1
embryonic 1
empirical 1
employing 1
end 3
enjoy 1
enterprise 1
entire 1
equally 2
essentially 1
ethical 1
ethically 1
ethics 1
evidence 2
evil 1
examining 2
experience 1
expression 1
extremist 1
fails 1
failure 1
faith 2
false 1
far 2
feels 1
figures 1
finally 1
focusing 1
follows 1
for 7
foreign 1
form 1
fount 1
freedom 1
from 7
fruits 1
further 1
goes 1
going 1
good 1
ground 1
groups 1
happiness 1
harris 15
have 1
having 1
he 28
hear 1
heretics 1
his 4
historical 1
history 1
holocaust 1
holy 1
how 1
however 1
human 2
identities 1
if 1
illness 2
illogical 1
in 20
infers 1
influencing 1
inquisition 1
insofar 1
inspiration 2
instead 1
into 1
introductory 1
is 13
islam 1
islamic 1
it 5
its 1
itself 2
jews 1
judicial 1
judiciary 1
justified 1
justify 1
knowingly 1
koran 1
last 1
lay 1
leading 1
leftist 1
legislature 1
legitimate 1
life 1
likens 1
link 1
literary 1
logical 1
logically 1
made 1
madness 1
mass 1
may 1
meditation 1
men 1
mental 2
merely 1
moderation 1
modern 1
moral 3
more 1
morse 1
muslims 1
must 3
mysticism 1
mystics 1
nature 2
nazis 1
ndash 4
necessarily 1
need 1
never 1
next 1
no 1
noam 1
normal 2
not 4
notion 2
now 1
numbers 1
of 41
offal 1
on 5
one 2
only 1
opens 1
opposed 1
or 1
order 1
others 1
otherwise 1
our 2
outline 1
pacifism 1
padmasambhava 1
part 1
passage 1
perceives 1
percentages 1
persecutions 1
pew 1
play 1
policies 1
policy 1
posed 1
positively 1
posits 1
possibility 1
possible 1
potentia 1
practices 1
prayers 1
predicated 1
presents 1
prevention 1
purporting 1
questions 2
quotations 1
quotes 1
radically 1
rain 1
raised 1
rational 3
real 1
reap 1
relativism 1
religion 5
religious 5
representative 1
research 2
respect 1
right 1
role 1
saint 1
sanity 1
saved 1
says 3
science 1
sees 2
self 1
sense 2
separate 2
should 1
shoulders 1
show 1
significant 1
smug 1
society 1
speak 1
spirituality 2
stance 1
standing 1
state 1
states 2
steady 1
stem 1
still 2
strongly 1
such 5
suffering 1
suicide 2
supernatural 1
supports 1
survey 1
sustain 1
systems 1
tactic 1
takes 1
talks 1
tap 1
teaching 1
techniques 1
terms 3
terrorist 1
that 16
the 44
their 1
them 1
theocracy 1
there 1
this 1
to 19
tolerance 1
torture 3
towards 1
transformed 1
troublesome 1
truly 1
turns 1
unabashed 1
uncompromising 1
uncontaminated 1
united 1
universe 1
unreason 1
unwilling 2
upon 2
us 1
use 1
useful 1
vanish 1
various 1
venture 1
view 1
violence 2
wage 1
war 2
was 2
we 7
weapons 1
were 1
western 1
what 5
where 1
which 8
while 2
willingness 1
window 1
witches 1
with 5
world 4
worldwide 1
would 1
you 1
your 2
