24797765
/m/0805rl6
/m/0805rl6
Julia Watts
2001
16year 1
a 6
abandoned 1
about 1
across 1
advances 1
alcoholic 1
an 2
and 4
as 3
at 2
baby 1
bag 1
baptist 1
beautiful 1
been 1
best 1
bo 2
boy 1
break 1
breaking 1
but 1
by 2
closeted 1
coldly 1
comes 1
conservative 1
cook 1
cope 1
day 1
decide 1
deeply 1
discovers 1
drunk 1
during 1
effeminate 1
embark 1
experience 1
faith 1
father 1
first 1
florida 1
following 1
football 1
for 2
friend 1
from 1
gay 1
get 1
girl 1
grandmother 1
has 1
heart 1
heavenly 1
her 6
hf 4
hfs 1
high 1
his 1
in 3
invites 1
is 3
kentucky 2
lesbian 2
lives 1
love 1
loving 1
make 1
memaw 1
mining 1
morgan 1
morning 1
mother 2
new 1
of 1
old 1
on 2
only 1
outcast 1
pain 1
punching 1
raised 1
rejects 1
road 1
rural 1
same 1
school 3
secret 1
she 1
shocking 1
simms 1
sleepover 1
small 1
south 1
southeastern 1
spring 1
team 1
teenage 1
the 8
their 1
they 1
though 1
to 4
tomboy 1
town 1
trip 1
unable 1
violent 1
well 1
wendy 2
when 1
where 1
who 1
wine 1
with 1
