29821
/m/07c2t
/m/07c2t
Aldous Huxley
1954
1100 1
1230 1
153 1
410 1
a 13
ability 1
abstract 1
action 2
active 1
acts 1
advantage 1
affairs 1
after 3
afterwards 1
age 1
agreeable 1
agreement 1
alban 1
alcohol 1
alertness 1
allows 1
also 3
although 2
am 1
american 1
an 5
and 29
aquinas 1
are 5
art 2
artistic 1
as 9
asserts 1
at 3
attempts 1
bad 1
be 3
beatific 1
because 2
become 2
becomes 1
becoming 1
behaviour 1
being 4
believes 1
bergs 1
better 2
between 1
biggest 1
body 1
boehme 1
book 3
books 1
botticellis 1
brain 1
brief 1
brightly 1
broad 1
brothers 1
buddha 1
buddhist 2
but 8
by 5
c 1
can 2
cd 1
chairs 1
change 1
channel 1
characterized 1
charity 1
christianity 1
chronological 1
church 1
cleansed 1
colored 1
colour 1
combines 1
common 1
concept 1
concerned 1
concerto 1
concludes 2
contemplation 3
contemplative 1
correct 1
create 1
cultures 1
czannes 1
day 1
dead 1
debate 1
decorum 1
dharma 1
didnt 1
difference 2
different 1
direct 1
disagreeable 1
door 1
doors 1
down 1
drapery 1
dress 1
drive 1
drug 2
duration 1
each 1
eckharts 1
effects 1
eliminate 1
enable 1
enlightenment 1
escape 1
especially 1
essential 1
ethical 1
even 1
ever 1
existence 2
expected 1
experience 7
experiences 1
experimenter 1
explains 1
external 1
extraordinary 1
fascinating 1
fears 1
featuring 1
feeling 1
feels 3
final 2
finally 1
finds 1
finishes 1
firstly 1
five 1
flow 1
flowers 1
for 6
found 1
four 1
from 6
fullness 1
gain 1
garden 2
gesualdos 1
given 1
gives 1
grace 1
gram 1
gratuitous 1
great 1
happen 1
has 4
hat 1
have 2
he 18
heads 1
healthier 1
hedge 1
height 1
help 1
helpful 1
hg 1
him 2
himself 1
hindu 1
his 4
home 1
hoped 1
hours 1
however 1
human 3
humanity 1
huxley 14
huxleys 1
i 1
ideally 1
immense 1
important 1
impressions 1
in 12
inability 1
include 2
including 1
inconveniently 1
incredibly 1
influence 1
information 1
insight 3
instance 1
instead 1
intellectual 1
intensified 1
intensity 1
into 7
intrinsic 1
irrelevant 1
is 16
isness 1
istigheit 1
it 5
its 4
jacob 1
judith 1
known 1
koan 1
landscapes 1
large 1
last 1
law 1
le 1
leaving 1
life 1
light 1
lights 1
likens 1
listening 1
literature 1
live 1
lives 1
long 1
lunch 1
lyric 1
madness 1
madrigals 1
maintains 2
major 1
martha 1
mary 1
may 1
meaning 2
meister 1
mentions 1
mescaline 6
mind 3
minor 1
miracle 1
moment 2
mood 1
more 1
mozarts 1
mystery 1
nain 1
naked 1
native 1
nearest 1
necessary 1
needed 2
negative 2
neither 1
nervous 1
no 1
nonetheless 1
nor 1
not 7
noti 1
notself 1
of 22
old 1
on 8
one 2
ones 1
only 1
or 3
ordinary 1
other 1
outside 1
overview 1
overwhelmed 1
pains 1
painters 1
paintings 1
pattern 1
people 1
perception 2
perceptions 1
perpetual 1
person 1
philosopher 1
piano 1
platos 1
pm 1
portrait 1
present 1
presented 1
pretentious 1
provokes 1
provoking 1
pure 1
puts 1
quietistic 1
reactions 1
reality 1
reason 1
reasoning 1
reasons 1
reconciliation 1
recounts 1
reduced 1
reflecting 3
reflection 1
reflections 1
reflects 2
relationships 1
religion 1
religious 1
replaced 1
represent 1
representational 1
represents 1
research 1
returns 1
sacrament 1
sameness 2
satchitananda 1
schizophrenia 1
scripture 1
see 2
seem 1
seems 1
sees 1
self 2
selftranscendence 1
sense 1
separated 1
shapes 1
shed 1
should 1
significant 1
simply 1
so 2
some 1
somewhat 1
spatial 1
speculates 1
spiritual 1
st 1
state 3
states 1
still 1
store 1
straight 1
straw 1
such 1
suchness 1
suite 1
summa 1
summary 1
symbols 1
system 1
systematic 1
take 1
taken 3
takers 1
talk 1
temporarily 1
term 1
terrors 1
than 2
that 20
the 53
theme 1
theologica 1
there 1
these 2
think 1
this 8
thomas 1
through 1
thus 1
tibetan 1
time 2
times 1
to 20
tobacco 1
too 1
totality 1
transcend 1
transcendent 1
transformed 1
under 1
understands 1
unessential 1
universal 1
unlikely 1
urge 1
us 1
use 1
users 1
uses 1
value 2
vase 1
vermeers 1
victim 1
violence 1
virtues 1
vision 1
visionary 1
visual 1
visualiser 1
vuillard 1
wall 1
was 4
way 2
wbds 2
well 1
wells 1
wellsuited 1
when 1
where 2
while 2
whilst 1
who 2
will 3
william 1
with 7
within 1
words 1
works 1
world 3
worlds 1
would 2
writes 2
zen 1
