890626
/m/03m5bl
/m/03m5bl
Mark Haddon
2003
a 17
about 4
achieved 1
address 1
adventures 2
adventurous 1
affair 1
after 6
ago 1
agrees 1
alevel 4
alexander 1
all 1
already 1
also 2
amount 1
an 6
and 24
anger 1
argument 2
around 2
arrested 1
arrive 1
arriving 1
asserts 1
astronaut 1
attempts 1
attend 1
autistic 1
away 1
be 2
because 1
become 1
bed 1
been 1
before 1
believe 1
between 1
body 1
book 5
boy 1
brief 2
broken 1
business 1
by 4
calls 1
cannot 1
caution 1
christopher 21
cleans 1
come 1
comes 1
completes 1
condition 1
confesses 1
confiscated 1
confiscates 1
conflict 1
crowds 1
curls 1
daily 1
dated 1
dead 2
death 4
decides 1
delighted 1
despite 2
did 1
died 1
difficulties 1
discovers 2
does 1
dog 5
down 1
during 1
ed 8
elderly 1
embarks 1
encountered 1
ends 2
evading 1
even 1
eventfilled 1
exam 1
exams 1
experiences 1
explains 1
father 9
fearing 1
fears 1
feeling 1
fifteenyearold 1
fight 1
finally 1
finds 1
first 1
for 5
fork 1
found 1
from 6
further 1
future 1
garden 1
getting 1
goal 1
goes 1
gone 1
grades 1
groans 1
guided 1
had 4
has 4
having 3
he 18
heated 1
her 2
hidden 1
him 8
his 33
hits 1
home 2
hopes 1
hours 1
house 1
how 1
however 2
ill 1
imprisoned 1
in 5
including 1
indeed 1
information 1
informs 1
interpreting 1
into 1
investigate 1
investigation 1
is 6
it 4
journey 1
judy 4
kill 1
killed 2
killing 1
large 1
leaves 1
let 1
letters 3
lied 1
limited 1
live 2
lives 2
living 1
london 2
long 3
lost 1
lying 1
makes 1
mathematics 2
maths 1
matter 1
may 1
meet 1
meets 1
mistake 1
moreover 1
mother 10
move 1
moves 1
mr 5
mrs 3
murder 1
murdered 1
mystery 2
neighbour 1
never 2
no 1
not 1
novel 1
occasionally 1
of 8
on 5
optimistic 1
order 1
orders 1
other 1
out 1
outside 1
overwhelmingly 1
own 1
owner 1
people 2
pet 1
police 1
policeman 2
policemen 1
prevent 1
previously 1
promising 1
read 1
realises 1
rebuild 1
records 1
rejection 1
relationship 1
released 1
remains 1
rented 1
repeated 1
resulting 1
return 1
returns 1
room 1
runs 1
same 1
scientist 1
searching 1
several 1
severely 1
she 2
shears 7
shocked 1
since 1
slowly 1
so 1
solved 1
soon 1
speared 1
spectrum 1
stating 1
stay 1
stimuli 1
story 1
street 1
supposed 1
suspicion 1
swindon 2
take 2
takes 1
talking 1
tell 1
terrified 1
that 13
the 21
their 1
them 2
then 3
they 2
though 1
throughout 1
time 1
to 17
top 1
touches 1
trains 1
trip 1
trove 1
trust 2
try 1
two 1
ultimate 1
unable 1
uncovers 1
under 1
university 1
until 2
up 2
very 1
visits 2
vomits 1
waits 1
want 1
wanting 1
wants 1
was 3
way 1
wellington 4
when 2
where 1
which 2
while 1
who 2
whom 1
will 3
with 14
world 1
would 1
written 1
wrote 1
years 1
