71416
/m/0jdh5
/m/0jdh5
Frank Herbert
1965
a 26
abdicate 1
abilities 3
able 3
accept 1
accepted 1
acquiring 1
act 1
after 1
against 3
aid 1
alia 4
all 3
allow 1
allowing 1
ally 1
also 1
always 1
amassed 1
among 1
an 6
and 39
are 5
armada 1
army 1
arrakeen 1
arrakis 6
as 9
ascends 1
assault 1
assisted 1
at 5
atreides 16
attack 6
attempt 2
attempting 1
avoid 1
aware 1
back 1
band 1
baron 11
battle 1
be 8
bears 1
becomes 2
been 2
before 4
begins 1
being 3
believes 1
bene 6
best 1
betrayed 1
between 1
birth 1
bitten 1
blow 1
born 1
both 2
boy 1
breeding 1
brilliant 1
brother 1
brought 2
brutish 1
building 1
but 3
by 12
caladan 1
can 1
cannot 1
capable 3
capital 1
captive 1
captured 2
careful 1
cause 2
caused 1
centuriesold 2
chain 1
challenges 1
change 1
chani 4
charge 1
chief 1
child 2
city 2
civil 1
close 1
cloud 1
come 1
commander 1
complete 1
completely 1
complicating 1
complications 1
concern 1
concubine 1
conditioning 1
conditions 1
confidence 1
confirm 1
confronts 1
confusion 1
control 5
controlled 1
convinced 1
convocation 1
corps 1
correctly 1
corrino 2
could 2
counterattack 1
cover 1
crippling 1
crucible 1
daughter 3
de 1
decides 2
decision 1
defeated 1
defending 1
defenses 1
defiance 1
delivered 1
describes 2
desert 1
despite 2
destroy 2
destroyed 1
destruction 1
determining 1
devastating 1
developing 2
diet 1
disguise 1
disguised 1
disloyalty 1
distrusts 1
disturbed 1
doctor 1
doing 1
downfall 1
dramatically 1
due 3
duke 2
duncan 1
during 1
effectively 1
effort 1
either 1
eliminate 1
elite 2
emerges 1
emperor 12
empire 1
ending 1
enemies 1
enlisting 2
entices 1
escapes 1
essential 1
establishing 1
evades 1
even 2
events 1
executed 1
expelled 1
explains 1
extend 1
face 1
fact 1
fanaticism 1
fathers 1
fear 1
fears 1
fervor 1
feud 2
feyd 1
feydrautha 1
fief 2
fields 1
fighting 3
final 1
focused 1
for 3
force 2
forced 1
forces 1
forsight 1
fouryearold 1
fremen 14
from 3
full 1
further 1
future 2
gaining 1
genetic 1
gesserit 6
gigantic 1
give 1
glossu 1
growing 1
grown 1
grows 1
guessing 1
gurney 3
had 2
haderach 1
halleck 1
happy 1
harkonnen 11
harkonnens 3
has 5
have 2
having 1
hawat 3
he 15
heir 2
help 1
her 6
highly 1
him 4
his 25
historically 1
hope 2
hopes 1
house 13
houses 2
however 4
huge 1
humanityspanning 1
idaho 1
if 1
imperial 2
in 12
increase 2
increasing 1
increasingly 1
influence 1
influential 1
ingesting 1
inhospitable 1
initial 1
instead 2
intended 1
into 2
intrigue 1
invade 1
invincible 1
irulan 1
is 27
it 2
its 1
iv 1
jessica 5
jihad 4
join 1
joins 1
just 1
kill 3
killed 2
kills 2
kind 1
knifeduel 1
known 3
kwisatz 1
lady 1
landsraad 2
leader 1
learn 1
legendary 1
leto 10
life 3
looking 1
lover 1
loves 1
loyal 1
lucrative 1
manages 1
marriage 1
medical 1
mental 1
mentat 3
messiah 1
met 1
method 1
military 1
moment 1
more 1
mother 4
mouth 1
movements 1
muaddib 2
must 1
mysterious 1
name 1
navy 1
neardeath 1
nearly 2
nephew 2
new 2
not 8
of 39
on 6
one 2
only 3
or 2
ordeal 1
ordered 1
over 1
overt 1
overtake 1
overtakes 1
overthrow 1
own 1
padishah 1
part 1
pass 1
past 2
paths 1
paul 26
personal 1
piter 1
plan 1
planet 8
plants 1
plots 1
plotting 1
point 1
poison 2
poisonous 1
political 1
popularity 1
population 1
possibility 1
possible 1
potential 1
power 4
powerhungry 1
powers 2
predicted 1
pregnant 1
prescience 3
present 1
presumeddead 1
previously 1
princess 1
principal 1
prison 1
production 2
program 1
promise 1
prophesied 1
protected 1
provide 1
quickly 2
rabban 1
rautha 1
reaction 1
realizes 2
realizing 1
recognizes 1
recruit 1
refined 1
regain 1
regarded 1
religious 1
remove 1
replacement 1
respect 1
retainer 1
retainers 1
reunited 1
reveals 1
reverend 2
riding 1
risk 1
rival 1
rivals 1
rule 1
ruling 1
salusa 1
same 1
sandstorm 1
sandworms 1
sardaukar 6
saturating 1
scattered 1
second 1
secret 1
secundus 1
see 1
seen 1
sees 1
send 1
sends 1
serves 1
service 1
settlement 1
sex 1
shaddam 3
she 2
show 1
shown 1
similar 1
simultaneously 1
single 1
skills 1
smugglers 1
son 3
space 2
spice 8
spies 1
stagnation 1
state 1
status 2
stop 2
stopped 1
strength 1
subconscious 1
subjected 1
suk 1
supported 1
surprised 1
survive 1
surviving 1
suspected 1
suspicions 1
suspicious 1
take 1
taken 1
takes 1
taught 1
teaching 1
that 15
the 102
their 4
them 2
thereby 1
they 2
this 6
threatened 1
threatening 1
three 1
throne 1
through 1
thufir 2
thwart 2
to 44
tooth 2
trained 1
training 1
traitor 2
trap 1
traps 1
travel 1
treachery 1
troops 1
troubadorsoldier 1
trust 1
ultimately 1
unable 2
unborn 1
under 3
underwent 1
universe 3
unstoppable 1
uses 1
visions 1
vladimir 1
vries 1
war 1
was 1
watch 2
water 3
way 2
ways 1
wealthy 1
weeks 1
weirding 1
wellington 1
when 2
where 3
which 5
while 3
who 5
whom 4
whose 1
will 7
win 1
with 13
within 2
withstand 1
would 4
years 1
yueh 4
