18445190
/m/04gnqt_
/m/04gnqt_
Edith Pargeter
1986
{"/m/02n4kr": "Mystery"}
1142 1
22 1
a 29
abbey 11
abbot 5
abduction 1
ablaze 1
about 5
abruptly 1
absence 1
accompanies 1
acquiesces 1
across 1
active 1
adding 1
after 6
afternoon 1
again 4
against 1
agreement 1
agrees 2
alerts 1
alive 1
all 2
alone 1
along 1
already 1
altar 2
always 1
ambition 1
an 3
anarchy 1
and 37
announced 1
anselm 2
apparently 1
approaches 1
are 3
arm 1
arrive 2
as 4
ask 3
asks 3
assure 1
at 9
attack 1
attacked 1
attacker 2
attacking 1
aunt 1
await 1
away 3
back 3
bandits 1
bank 1
base 1
be 5
bear 1
beauty 1
bed 1
been 6
before 6
began 1
begins 2
behind 1
being 4
believe 1
believes 2
believing 1
bellecote 1
belonged 1
benedictine 2
beringar 2
bertred 18
betrayal 1
bloom 1
blow 1
boat 2
body 2
bole 1
boot 2
boots 3
branwen 2
bridge 1
bring 1
brings 1
broken 1
bronze 1
bronzesmith 2
brother 10
buckle 1
burning 1
bush 7
business 2
but 10
by 16
cadfael 15
called 1
calms 1
can 2
carpenter 1
causing 1
charter 6
chased 1
checks 1
childless 1
clips 1
close 1
closer 1
clothier 1
comes 1
complete 1
confesses 1
continue 1
control 1
convenient 1
convent 1
convinces 2
could 1
countinghouse 2
cousin 1
cover 1
covered 1
current 1
daughter 3
day 9
days 4
dead 3
deception 1
decides 1
deliver 1
delivered 3
delivers 1
deputy 1
desire 2
destroy 1
destroyed 1
did 2
died 1
discarded 1
discover 1
discovered 1
discusses 1
discussion 1
disruptions 1
distinctive 1
disused 2
dives 1
do 1
does 3
dog 1
door 1
down 2
downstream 1
draw 1
dropped 1
during 2
duty 2
each 1
early 2
edwy 1
eight 1
either 1
eluric 9
empress 1
emptied 1
en 1
end 2
ended 1
enter 1
episode 1
escape 2
estate 1
events 1
eventually 1
evil 1
examines 1
examining 1
exchange 1
explain 1
fails 1
fall 1
family 1
feast 1
find 3
finds 5
fire 2
firmlyattached 1
first 3
flees 1
followed 4
follows 1
footprint 1
for 14
forced 1
ford 4
foregate 1
foremen 1
found 4
fourth 1
friars 1
from 10
full 2
funded 1
funeral 1
gaoler 1
garden 1
gash 1
gave 2
getting 1
gift 2
girdle 2
given 1
gives 2
giving 1
glancing 1
gloucester 1
go 4
godric 4
goes 1
going 1
good 1
greed 1
grieving 1
guilt 1
hacked 1
had 7
half 1
hands 1
happy 1
has 8
hauled 1
have 3
having 2
he 31
head 1
heads 1
hear 1
heard 1
hears 4
heart 1
held 1
her 40
him 17
his 20
hits 1
holding 1
home 4
honoring 1
hoping 1
horse 1
hour 1
house 6
household 2
hugh 10
hurt 1
husband 2
hynde 7
idea 1
if 1
illness 1
importance 1
impression 2
in 26
inherit 1
inside 1
intact 1
intended 1
interested 1
interloper 1
into 4
investigating 1
is 20
it 8
its 2
judith 31
june 1
just 1
keeps 1
kicks 1
kidnapped 1
kidnapper 1
kill 2
killed 4
king 2
knife 3
knocked 1
knocks 1
know 2
known 1
knows 1
lands 1
last 1
late 1
later 2
leave 2
leaves 1
leaving 2
led 1
left 3
let 1
lies 1
life 1
live 2
living 1
local 1
loneliness 1
lost 1
madog 1
magdalen 7
make 2
makes 3
making 1
man 4
manor 1
many 1
marriage 1
marry 1
marrying 1
match 3
matter 1
maud 1
meetings 1
men 3
mentioned 1
messenger 1
mid 1
middle 1
might 1
miles 9
miscarried 1
mitigate 1
mold 1
moonless 1
more 1
morning 3
mother 2
motivated 1
motive 1
moved 1
much 1
murder 2
murderer 1
must 2
near 2
need 1
never 1
new 2
news 1
next 4
niall 7
night 8
no 1
nor 1
normandy 1
north 1
not 10
now 2
nuns 1
obtain 1
of 31
oil 1
on 12
once 1
one 2
only 1
onto 1
open 1
option 1
or 2
other 1
out 6
outbuilding 1
over 3
overnight 1
owner 1
oxford 1
pair 1
past 1
path 1
patrimony 1
perle 7
person 2
picked 1
pillion 1
place 1
pleading 1
political 1
possibly 1
presence 1
print 2
promises 1
property 5
pulley 2
pulls 1
pursue 1
radulfus 3
realizes 1
reasons 1
recognizes 1
rediscovering 1
reflect 1
rejects 1
release 1
released 2
releases 1
remake 2
remembers 1
rent 4
rents 1
reputation 2
responsibility 1
rest 2
retreat 1
return 1
returns 1
reunion 1
reveal 1
reveals 1
revert 1
riding 1
river 6
robert 1
rocks 1
room 1
rosalba 1
rose 10
route 1
runs 1
sadly 1
saint 2
say 1
says 1
scene 1
scornfully 1
scream 1
search 4
searched 1
second 1
securing 1
see 2
sees 2
sends 1
senseless 1
servant 1
several 1
severn 1
shallows 1
shared 1
she 19
sheep 1
shelving 1
sheriff 3
shoe 2
shoes 1
shop 1
shrewsbury 3
side 1
sill 2
single 1
sister 8
sisters 2
situation 1
slip 1
so 3
someone 2
son 2
soon 1
sound 1
sounds 1
spread 1
spring 1
st 1
stabbed 1
start 1
staunchest 1
stay 2
staying 1
step 1
stephen 1
still 1
stolen 2
stopped 2
store 1
storehouse 1
story 1
struggle 1
struggles 1
suggesting 1
suitors 1
support 1
supporter 1
supporters 1
surprising 1
swimming 1
tag 1
take 1
taken 3
takes 1
taking 1
tale 1
talk 1
tell 1
telling 1
tells 5
tends 1
that 21
the 141
their 3
them 4
then 5
there 1
they 7
think 1
thinking 2
this 4
those 1
three 4
thus 1
time 1
to 75
told 1
torch 1
tormented 1
touched 1
touching 1
toward 1
town 4
trace 1
translation 2
tree 1
trial 1
tried 1
trouble 1
trusted 1
truth 2
trying 1
turn 1
twenty 1
two 2
unconditional 1
under 1
understanding 1
unexpected 1
until 4
up 2
upon 1
use 1
veil 1
via 1
visit 2
visiting 1
visits 2
vivian 9
void 1
wait 2
waiting 1
wales 1
walks 1
wall 1
wants 3
wareham 1
was 6
watchdog 1
watchman 5
water 1
wax 2
way 3
well 3
went 1
what 2
when 4
where 5
which 1
while 2
white 3
who 4
widow 2
widower 1
widows 1
will 6
window 1
winifred 3
with 25
within 2
witness 1
woman 1
wool 1
working 1
worn 1
would 3
year 2
years 3
yesterday 1
young 2
