14924435
/m/03h1t2d
/m/03h1t2d
Michael Carroll
2006-10
a 4
about 1
actually 1
adolescent 1
after 2
airport 1
among 1
an 2
and 7
antagonist 1
are 5
around 1
as 1
attack 2
attacks 1
be 1
begin 1
blown 1
broken 1
but 2
by 2
colin 2
comfort 1
cord 1
covers 1
cross 1
decision 1
designed 1
dies 1
discover 1
dozens 1
each 1
emerges 1
end 1
energy 1
equality 1
everyone 1
facility 2
father 1
flee 1
following 1
forced 1
freedoms 1
from 3
give 1
going 1
has 1
he 1
heart 1
heroes 5
hide 1
his 3
in 5
information 1
inherited 1
instead 1
international 1
is 6
it 1
its 2
just 1
killing 1
known 1
last 1
leaking 1
learn 2
learns 1
leaves 1
made 1
members 1
mom 1
more 3
name 1
new 2
novel 1
occur 1
of 7
old 1
on 1
one 1
or 2
order 1
organisation 1
other 1
over 1
paragon 1
pattern 1
people 1
power 1
powers 1
prophecy 1
protect 1
protocol 1
publicity 1
quantum 1
really 1
reduced 1
research 1
return 1
revealed 1
run 1
sakkara 2
secret 1
security 1
solomon 1
someone 1
spraypainted 1
states 1
superhumans 1
superpowers 1
supervillainturnedassassin 1
suspect 1
take 1
terrorist 1
that 5
the 19
their 2
themselves 1
then 1
they 4
this 1
thought 1
time 1
titan 1
to 7
too 1
trutopians 2
trying 1
united 1
until 1
us 1
victor 1
wall 1
was 1
which 1
who 1
with 1
word 1
world 2
yvonne 1
