14584895
/m/03d8pb1
/m/03d8pb1
Rose Macaulay
1950
{"/m/05hgj": "Novel", "/m/08sdrw": "Adventure novel"}
145 1
a 14
about 1
adjust 1
adopt 1
after 1
aftermath 1
alarmed 1
also 2
among 1
an 6
and 23
anglican 1
apart 1
are 1
art 1
associating 1
at 1
attend 1
aunt 1
away 2
back 2
band 1
barbary 13
barrister 1
beautiful 1
becomes 1
between 2
bombed 1
bombedout 1
brother 1
business 1
but 3
by 3
called 1
cambridge 1
cathedral 1
chambers 1
church 1
churches 1
city 3
collaborator 1
conception 1
conclusion 1
confronts 1
confusion 1
daughter 3
death 1
deniston 3
descriptions 1
deserters 1
difficult 1
discovers 1
dislike 1
do 1
dotes 1
drowned 1
drowning 1
each 1
echo 1
emptiness 1
empty 1
england 1
english 2
explaining 1
fall 1
family 1
father 2
fear 1
fifteenyearold 1
fighting 1
final 1
find 1
first 1
flat 1
flowering 1
fond 1
for 1
former 1
france 2
french 1
friends 1
fringes 1
from 2
gambling 1
german 1
germans 1
giles 1
grandmother 1
grieving 1
grown 1
guerrilla 1
gulliver 2
had 1
hanging 1
harassing 1
has 4
have 2
he 1
helen 6
helping 1
her 13
here 1
herself 1
highlands 1
him 2
his 1
holiday 1
husband 3
in 11
intertwined 1
irish 1
is 8
its 2
judgment 1
kc 1
killed 1
last 1
late 1
lazy 1
leading 1
left 1
life 2
live 2
living 2
london 6
madame 1
make 1
maquis 2
maurice 3
michel 5
money 1
months 1
moral 1
mother 3
mural 1
mysteriously 1
nearly 1
new 1
no 1
nothing 1
novel 1
now 1
occupation 1
of 22
on 3
other 1
painter 1
paints 1
pamela 1
past 1
paul 1
peer 1
poetic 1
police 1
present 1
provence 1
psychiatrist 1
question 1
raoul 4
reaches 1
reconciliation 1
religious 1
respectable 1
returns 2
revelation 1
richie 1
ruined 1
ruins 1
run 1
running 1
runs 1
sabotage 1
same 1
schemes 1
scholar 1
school 1
scottish 1
second 1
sends 2
seventeenyearold 1
shadow 1
she 6
shoplifting 1
sir 2
slade 1
society 1
somerset 1
son 2
south 1
spivs 1
st 2
staying 2
steals 1
stepmother 1
stepson 1
summer 1
take 1
takes 1
terrible 1
that 1
the 31
there 2
time 1
to 14
twoyearold 1
ultraconventional 1
uncle 2
undergraduate 1
visited 1
war 2
was 1
wasteland 1
when 1
where 1
who 5
whom 1
wife 1
wild 1
wilderness 1
wish 2
with 13
within 1
world 1
