2534629
/m/07ljkk
/m/07ljkk
Judy Blundell

a 4
again 1
also 1
although 1
an 1
and 10
anymore 1
are 1
assassination 1
at 1
attacks 3
attempt 1
back 1
bant 5
be 2
become 1
before 1
behind 1
being 1
bomb 1
bruck 5
but 3
by 1
cause 1
choosing 1
chun 2
continue 1
converted 1
core 2
corporation 1
could 1
course 1
crystal 1
crystals 1
death 1
decides 1
demands 1
destruction 1
different 1
down 1
duel 1
duels 1
during 1
escapes 1
even 1
everything 1
exchange 1
expensive 1
failed 1
fall 1
fight 1
fire 1
for 2
forces 1
forgiveness 1
former 1
fountains 1
free 1
freedom 1
funding 1
furthermore 1
great 1
has 2
he 3
held 1
high 1
him 1
his 6
home 1
hunts 1
ignores 1
in 5
including 1
investigate 1
is 11
it 1
jedi 4
jinn 1
join 1
kenobi 1
kidnaps 1
knight 1
large 1
lead 1
learn 1
locate 1
locates 1
locked 1
master 2
mastermind 1
meanwhile 1
monetary 1
more 1
must 1
namely 1
not 3
now 2
obiwan 9
of 6
offer 1
offworld 1
on 6
once 1
one 1
only 1
order 2
padawan 2
planet 1
planning 1
quest 1
quigon 6
reactor 2
recent 2
recently 1
release 1
rescued 2
rival 1
room 1
setting 1
should 1
slips 1
soon 2
source 1
still 1
supplies 1
sure 2
tahl 1
team 1
telos 1
temple 6
that 4
the 18
they 2
though 1
thousand 1
time 1
to 6
two 1
uncovered 1
unite 1
up 1
value 1
vast 1
vertex 1
where 1
while 1
will 1
with 2
worth 1
xanatos 8
yoda 1
