12137017
/m/02vr12m
/m/02vr12m
Diane Duane
1983-12
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 9
aboard 1
advising 1
after 1
all 1
allows 1
amiss 1
an 1
and 10
another 1
anyone 1
arriving 1
as 2
based 1
be 1
beacons 1
begins 1
beings 1
bend 1
between 1
bizarre 1
both 1
boundary 1
by 2
calypso 1
captain 2
capture 1
caused 1
centuries 1
chief 1
clouds 1
collective 1
conscious 1
consciousness 1
consequences 1
cover 1
creating 1
creative 1
crew 1
cross 1
crystalline 1
deals 1
deliberately 1
denouement 1
denver 1
designer 1
destabilizes 1
destruction 1
diane 1
discover 1
distances 2
draw 1
dreadfully 1
dreamlike 1
drive 7
duane 2
during 1
emotional 1
enterprise 4
equipped 1
everywhere 1
experiences 1
experiencing 1
extensions 1
external 2
extragalactic 1
fatal 1
filk 1
final 1
first 1
follows 1
for 3
fundamental 1
future 1
hamal 1
have 1
heal 1
however 1
humans 1
immense 1
in 3
includes 1
incorporates 1
inflicts 1
inner 1
instantly 1
intelligences 1
intensively 1
inversion 2
is 5
it 2
its 1
itself 2
john 1
jump 1
just 1
kirk 2
klingon 1
level 1
life 1
like 2
loss 1
magellanic 1
makes 1
may 1
mental 1
milky 1
mission 1
mix 1
most 1
must 1
natives 1
navigation 1
near 1
nearby 1
new 3
novel 2
novels 2
objective 1
observing 1
of 14
on 6
one 3
or 2
order 1
other 3
outmaneuvering 1
outside 1
own 3
penetrates 1
perception 1
physics 2
place 1
plot 1
potentially 1
practiced 1
price 1
product 2
question 1
quotes 1
race 1
radical 1
rapidlyspreading 1
real 1
reality 2
realize 1
recreation 1
rift 2
room 1
scenes 1
sent 2
several 1
ship 2
something 1
song 1
spacetime 2
speculative 1
spiderlike 1
spiritual 1
squadron 1
star 4
starship 1
strengths 1
support 1
system 1
systems 1
take 1
tear 1
technology 2
that 4
the 33
their 2
thereof 1
they 4
thing 1
this 1
through 1
time 1
times 1
to 9
together 1
tosera 1
transit 1
traveling 1
trek 2
universe 2
unknown 1
use 2
using 2
voyages 1
warp 1
was 1
way 1
where 1
whether 1
which 4
with 5
worlds 1
would 1
wound 1
