3332015
/m/0968hf
/m/0968hf
Amelia Atwater-Rhodes

{"/m/039vk": "Gothic fiction", "/m/0kflf": "Vampire fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
1684 1
300 1
a 11
able 1
accepting 1
accident 1
accidentally 1
after 4
against 1
ago 1
alexander 5
alive 1
allowing 1
an 5
and 29
another 1
answers 1
appears 1
around 2
as 5
at 2
ather 4
attempt 3
aubrey 13
author 1
avenging 1
aware 1
back 2
been 1
before 1
begins 1
believes 1
believing 1
bengal 2
best 1
between 1
black 2
blood 4
book 2
born 1
breaks 1
brother 4
burned 1
burns 1
but 5
by 1
calls 1
came 1
can 2
carries 1
cause 1
causes 1
centers 1
clans 1
collarbone 1
comfort 1
concord 1
confront 1
confronting 1
confronts 1
contains 1
could 1
covered 1
creep 1
day 2
death 1
defeat 1
desperation 1
devil 1
did 1
die 1
dislike 1
do 1
does 1
down 1
drags 1
drawing 1
ends 1
enraged 1
even 1
events 1
eventually 1
existence 1
exposing 1
father 1
fear 2
fearing 1
feed 2
fight 1
find 2
finds 1
finger 1
fire 2
follows 1
for 3
found 1
from 2
get 2
gives 1
go 1
godfearing 1
grabs 2
ground 1
had 5
hair 1
halfsister 2
happen 1
happy 1
harming 1
has 3
hawk 1
he 10
hear 1
hears 1
help 1
her 18
herself 2
him 10
his 7
home 2
hundred 1
hurt 1
in 12
including 1
informs 1
instead 1
interfering 1
into 3
is 7
it 5
joke 1
kills 1
knife 2
later 2
lay 1
learns 1
leave 1
leaves 3
left 3
letting 1
lived 1
lives 1
long 1
low 1
lynette 2
magic 1
make 1
making 1
massachusetts 1
mind 1
more 1
name 1
named 1
nearly 1
night 1
no 1
not 5
note 6
now 1
nyeusigrube 1
of 8
off 2
offers 1
on 5
once 1
one 4
onto 1
opens 1
or 1
out 3
past 1
peoples 1
pins 1
place 1
powers 1
pricks 1
rachel 8
realizes 1
realm 1
remember 1
revealed 1
reveals 1
rise 1
risika 11
room 1
rose 2
runin 1
scar 1
set 1
seventeenyearold 1
she 13
sister 1
slashes 1
stating 1
stay 1
still 1
stop 1
story 1
strangers 1
strips 1
taken 1
takes 4
tears 1
tells 1
territory 1
that 7
the 24
their 2
them 2
then 1
things 1
thinking 1
this 1
though 1
thoughts 1
three 1
tiger 4
to 23
too 1
tora 4
town 1
transform 1
transformation 1
transformed 1
transforming 1
transforms 2
trespassing 1
tried 1
tries 2
twin 3
two 2
unknown 1
up 2
use 1
vampire 2
vampires 1
visit 1
wanting 1
warns 1
was 2
weatere 1
when 1
where 1
which 5
while 1
who 6
whoever 1
will 1
witch 1
with 6
would 1
wounded 1
written 1
years 2
your 1
