1234512
/m/04ksqv
/m/04ksqv
Harry Turtledove
2004-08
141 2
142 2
22 1
a 10
abner 1
abstruse 1
act 1
again 1
against 1
al 2
ambitions 1
an 2
and 6
another 1
are 1
army 2
as 1
assistant 1
attack 1
believing 1
blacks 1
blunder 1
bogs 1
bombing 1
breaks 1
but 2
by 3
capital 1
case 1
charlie 1
city 1
colonel 1
come 1
confederacy 2
confederate 2
confederates 1
counterattack 1
country 2
cut 1
declaring 1
desperately 1
does 1
dowling 1
down 1
early 1
erie 1
escalating 1
essentially 1
featherston 2
fight 1
fighting 1
finance 1
follette 1
following 1
for 3
franklin 1
from 1
fullscale 1
general 1
genocide 1
government 1
harboring 1
has 1
have 1
hint 1
hinted 1
his 2
holocaust 1
houston 1
hurries 1
if 1
in 13
into 1
irving 1
is 6
it 1
its 1
jake 1
june 1
just 1
kentucky 1
killed 1
la 1
lake 1
located 1
makes 1
manhattan 1
meanwhile 2
money 1
mormons 1
morrell 1
murderous 1
nation 1
no 1
not 1
nuclear 1
occupied 1
of 12
offensive 1
offer 1
ohio 1
on 2
once 1
our 1
overseen 1
persecution 1
philadelphia 1
physics 1
prepare 1
preparing 1
president 3
presidential 1
producing 1
professor 2
project 2
prompting 1
provided 1
raid 1
reached 1
reeling 1
rejecting 1
remilitarizes 1
research 1
response 1
return 1
revolted 1
roosevelt 1
scientific 1
second 1
secretary 1
sent 1
shaken 1
shores 1
similar 1
smith 2
solemn 1
start 2
state 1
states 2
strategic 1
summer 1
survival 1
swift 1
sworn 1
that 2
the 21
them 1
things 1
this 2
timeline 1
to 6
towards 2
two 1
under 1
united 1
us 4
utah 1
version 1
virginia 1
vow 1
wants 1
war 3
washington 1
weapons 1
when 2
while 1
word 1
world 1
yankees 1
