16345197
/m/03whc1m
/m/03whc1m
Jules Verne
1889
{"/m/06n90": "Science Fiction", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
18 1
180000 1
2800 1
67 1
84th 1
a 11
accidentally 1
achieve 1
admirer 1
after 1
again 1
alcide 3
all 1
always 1
ambitious 1
america 1
an 5
and 16
anonymous 1
another 1
any 1
arctic 1
ardent 1
army 1
around 3
as 2
asia 1
associates 1
at 1
auction 4
authorities 1
axis 3
back 1
baltimore 1
barbicane 3
barrel 1
be 6
bearing 1
became 1
because 1
become 1
been 3
bitter 1
blackboard 1
brave 1
brilliant 1
bring 2
buckle 1
but 4
buyer 2
by 9
calculation 1
calculations 1
call 1
called 1
cannon 8
capital 1
captain 1
caught 1
causes 1
change 1
chunk 1
climate 1
closes 1
club 1
co 1
coal 1
columbiad 1
come 1
company 1
completion 1
computations 1
computes 1
computing 1
confirmed 1
conjectured 1
could 1
countries 2
crust 1
damage 1
data 1
day 1
declared 1
deduces 1
deep 1
define 1
delegates 1
deposits 1
designed 1
destination 1
discovers 1
displacement 1
dug 1
during 1
each 1
earlier 1
earth 4
easily 1
effect 2
either 1
end 1
engineer 2
engineering 1
enormous 1
enthusiastic 1
equal 1
erased 1
error 1
evangelina 1
even 1
eventually 1
exist 1
exit 1
explorers 1
explosion 2
explosive 1
extending 1
fact 1
fail 1
fan 1
fantastic 1
feasibility 1
feelings 1
felt 1
finally 1
find 1
fired 2
firing 1
first 1
flanks 1
flooded 1
for 2
force 1
former 1
founded 1
frantic 1
french 1
from 5
gain 1
gladly 1
got 1
gun 2
gunmenastronauts 1
had 12
have 2
he 7
her 1
highest 1
his 2
however 2
huge 3
ice 1
immediate 1
impey 1
in 8
including 1
indeed 2
inside 1
intended 1
interest 2
international 1
into 3
invented 1
is 7
it 2
its 1
j 4
jailed 1
jt 1
jupiter 1
kilimanjaro 1
kilometres 1
land 1
lands 1
large 1
larger 1
latitude 1
lay 1
left 1
life 1
lighting 1
like 1
local 1
location 1
lost 1
made 1
make 1
man 1
many 1
marriage 1
maston 6
mathematical 1
melimelonite 1
members 1
mined 1
mistake 1
monster 1
moon 3
more 2
mostly 1
mount 1
ms 3
much 1
mysterious 1
necessary 1
needed 1
never 1
new 2
nicholl 3
night 1
north 3
not 1
note 1
obsessive 1
of 22
official 1
omitted 1
on 1
once 1
or 1
orbit 1
organized 1
others 1
out 1
panic 1
parallel 1
part 1
per 1
perpendicular 1
pierdeux 1
place 1
plan 3
planet 1
planned 1
pole 2
position 1
powerful 1
project 2
projectile 1
promptly 1
provided 2
public 1
quickly 1
rage 1
reached 1
recoil 3
remove 1
representative 1
required 1
resentment 1
rest 1
result 1
retains 1
retirement 2
revealed 1
revel 1
riduculed 1
rights 1
rock 1
rotation 1
round 1
rush 1
same 2
scientific 1
scorbitt 3
searches 1
seasons 1
second 1
secured 1
send 1
sends 1
sent 1
several 1
shell 1
single 1
size 1
slightest 1
small 2
so 1
society 1
sold 1
sovereign 1
speed 1
states 2
steelbraced 1
stop 1
struck 1
sultan 1
supervise 1
surrendered 1
t 4
technical 1
telephone 1
than 2
thanks 1
that 9
the 70
their 2
them 2
then 2
they 1
three 1
tilt 2
to 19
tons 1
too 1
traveled 1
tremor 1
trillion 1
twelve 1
twenty 1
two 1
unable 1
under 1
united 2
unknown 1
unwilling 1
using 1
vast 1
vicinity 1
vowing 1
was 4
way 1
wealthy 1
weighting 1
went 1
were 1
when 1
which 2
while 2
who 2
whole 1
whose 1
widow 1
with 1
won 1
workers 1
world 4
would 11
year 2
years 1
yet 1
zeros 2
