15559807
/m/03mf3zp
/m/03mf3zp
LeAnne Howe
2001-09
{"/m/05hgj": "Novel"}
11 1
1738 1
a 5
actions 1
against 1
ancestors 1
and 6
anoleta 4
army 1
around 1
as 4
assistant 1
attempt 1
auda 1
avert 1
be 2
become 2
been 1
begin 1
beginning 1
bernhardt 1
between 1
billy 4
blamed 2
both 1
brings 1
by 1
chickasaws 1
chief 2
choctaw 5
circumstances 1
claiming 1
clan 1
closer 2
complicated 1
confesses 1
contributions 1
decade 1
deciding 1
descendants 1
destroys 1
devastates 1
durant 1
early 1
embezzlement 1
family 5
feel 1
fire 1
follows 1
forfeits 1
fox 1
generations 1
gets 1
gone 1
has 1
he 1
help 1
her 5
his 3
historical 1
in 7
increasingly 2
investigation 1
involvement 2
involving 1
irish 1
is 3
isaac 1
just 1
land 1
later 1
laundering 1
life 1
links 1
lives 1
living 1
long 1
lover 1
mafia 1
may 1
mcalester 1
mississippi 1
money 1
more 1
mother 2
move 1
murder 1
murdered 2
nation 2
next 1
now 1
of 11
oklahoma 2
old 1
on 1
parallel 1
peacemaking 1
pending 1
people 1
plays 1
preremoval 1
rape 1
red 3
redford 1
republican 1
sarah 1
save 1
scattered 1
seems 1
shakbatina 2
shaker 1
she 1
shell 1
shoes 2
sides 1
similar 1
spends 1
spirits 1
story 2
strange 1
susan 1
take 1
tale 1
tales 1
tells 1
than 1
that 2
the 19
their 4
them 1
they 1
through 1
to 10
together 1
town 1
tribe 1
tribes 1
truth 1
two 1
uncle 1
war 2
warrior 1
what 2
when 1
while 1
who 1
wife 2
woman 1
would 1
yanbi 1
