2529763
/m/07l79c
/m/07l79c
Dennis O'Neil


14 1
20 1
23 1
33 1
a 17
abandons 1
achieve 1
after 3
again 1
age 1
american 1
an 1
and 12
animal 1
approaches 1
are 1
arts 1
as 1
asks 1
at 4
attempts 1
awakens 1
bat 2
batman 5
bats 2
been 1
begin 2
begins 1
blind 1
bob 1
bodies 1
bounty 1
brooding 1
bruce 21
brutality 1
but 2
by 1
cannot 1
career 1
carelessness 1
cave 1
chastises 1
city 1
college 1
comforts 1
comics 1
concentrated 1
consists 1
costumed 1
crashes 1
creates 1
crimefighting 1
cunning 1
cuts 1
dark 1
dead 1
deception 1
deemed 1
depicted 1
depicts 1
designed 1
detective 2
disgusted 1
disillusioning 1
doggett 3
down 2
dr 1
ducard 2
early 1
events 3
every 1
exceptional 1
experience 1
explains 1
explore 1
extended 1
failed 1
failure 1
falling 2
falls 2
father 1
fbi 1
fighting 1
first 2
fit 1
food 1
for 1
foreign 1
forensics 1
fox 1
france 1
frank 1
from 5
fugitive 1
gardner 1
gotham 2
great 1
grounds 1
had 1
hamm 1
has 3
he 9
heads 1
hell 1
henri 1
hidden 1
him 7
himself 2
his 7
hole 2
hunter 1
identity 1
if 1
images 1
in 7
includes 1
including 2
intelligence 1
is 3
it 1
just 1
justice 2
kane 1
kills 2
kirigi 1
kneeling 1
knight 1
korea 2
layouts 1
learns 1
leaves 2
ledge 1
legends 1
library 1
made 1
man 3
manor 2
mark 1
martha 1
martial 1
master 1
meets 1
miller 1
modeling 1
monastery 1
mother 1
mountain 1
mountainous 1
mountains 1
murder 2
named 2
narration 1
native 1
nearly 1
next 1
night 3
now 1
obtain 1
of 17
old 2
on 1
one 4
oneil 4
or 1
origin 1
out 2
own 1
parents 1
past 1
physique 1
precipice 1
previously 1
published 1
realizes 1
reassures 1
recounts 1
recurring 1
region 1
rescued 1
rescues 1
resemble 1
retellings 1
returns 1
sacred 1
sam 1
scene 1
scenes 1
sees 1
selfdestructive 1
series 1
shaman 2
she 1
shoots 1
shows 1
skills 1
snowy 1
some 1
still 1
stories 1
story 4
street 1
study 1
summarizes 1
summarizing 1
swarm 1
system 1
teenager 1
tells 2
that 3
the 23
their 1
then 1
this 1
thomas 1
through 1
thugs 1
time 1
to 10
tom 1
towards 1
track 1
tracking 1
training 4
trains 1
traumatic 1
travels 1
tribe 1
turning 1
turns 1
unconscious 1
uncostumed 1
upon 1
uses 1
version 2
wanders 1
warmth 1
was 2
way 1
wayne 6
waynes 1
when 4
where 2
which 1
while 3
who 2
willie 1
window 1
with 3
within 1
without 1
woodley 3
work 1
working 1
world 1
year 3
young 1
