26195805
/m/0g85pk
/m/0g85pk
Dav Pilkey
2008-12-30
10 1
15 1
2013 1
4th 1
a 22
accepted 1
accidentally 1
accuse 1
acting 1
actually 1
adventures 2
after 1
ago 1
alcoholic 1
all 7
along 1
also 2
always 1
ambulance 1
and 47
announces 1
antiwedgie 1
anybody 1
anymore 1
appear 1
are 8
armpits 1
arrested 1
arrives 2
as 4
at 4
ate 3
away 2
awesome 1
back 5
bad 1
banana 1
bank 1
be 2
became 1
because 1
become 1
bed 1
begins 1
best 1
big 1
body 2
bomb 1
bonus 1
book 6
bordon 1
bracelets 1
build 1
builds 1
bullies 5
bully 4
bunch 1
burned 1
burns 1
but 6
by 6
called 2
came 3
captain 5
cat 1
catching 1
causing 1
celebrated 1
changed 1
changing 1
chapter 1
chased 2
chasing 1
chief 1
cleaners 1
climbs 1
come 1
comic 3
coming 1
continues 1
cop 2
cops 1
cord 2
corner 1
could 1
couldnt 1
cream 1
created 2
crimes 1
criminals 3
curse 2
cursed 1
cut 1
day 4
death 1
defuse 1
destroyed 2
did 2
died 2
dinner 1
disappeared 1
doctor 2
does 1
dog 10
dolls 1
down 1
dresses 1
drinking 1
due 1
dying 2
ears 1
eating 1
ectoplasm 1
eighth 1
embarrassment 1
end 2
even 1
everyone 2
evil 2
evilest 1
except 1
existed 1
explaining 1
explains 1
fact 1
fear 1
find 1
finds 1
fingers 1
first 1
fist 1
five 2
followed 1
food 1
for 3
forces 1
forgot 1
fourth 1
freeze 1
freezes 2
friends 2
from 7
gang 3
gave 3
george 9
get 4
gets 3
ghost 3
giant 2
give 3
gives 1
glasses 1
going 2
gordon 2
got 3
grabs 1
grade 1
great 1
greg 4
guy 1
gypsy 1
had 2
happen 1
happened 1
hard 1
harold 9
has 1
have 1
he 20
head 2
hear 1
held 1
help 1
her 1
here 1
hideout 1
him 14
his 20
home 1
hospital 1
hot 1
how 1
however 1
hypnotized 1
hysterics 1
idea 2
if 1
in 5
include 1
information 1
instead 2
instruction 1
into 1
invented 1
is 13
it 10
its 1
jail 1
jailer 1
january 1
job 1
journey 1
kids 1
kindergartens 1
kindergartner 1
kindergartners 1
kipper 6
knew 1
know 1
krupp 5
lady 1
laid 1
last 2
late 1
laughing 1
lead 1
left 2
legs 1
life 1
like 1
lose 1
love 1
magee 4
makes 3
making 1
man 9
mean 1
meaning 1
meanwhile 2
mental 1
money 2
more 2
mortal 1
most 1
mouth 1
mr 5
mrkrupp 2
must 1
named 2
nephew 1
nerds 2
never 3
next 1
night 1
no 1
nobody 1
none 1
nose 1
not 1
nurse 1
of 13
off 2
on 9
one 3
only 1
onto 2
operation 1
or 1
out 1
overrun 1
page 1
pants 5
paradox 1
partner 1
past 2
penitentiary 1
people 1
petey 2
pick 1
picked 1
pie 1
piqua 1
pizza 1
play 1
plug 1
police 3
potion 4
pour 1
poured 1
present 3
presents 1
previous 1
prison 1
prisoner 1
professionals 1
punch 1
puts 1
reached 1
reader 1
really 1
reasons 1
red 1
remain 1
remains 1
resort 1
rest 1
reveals 1
revenge 1
right 1
robot 7
robotic 1
run 1
running 2
said 2
same 1
saw 1
say 1
scared 3
scares 1
school 4
second 1
section 1
see 1
she 5
shmorden 2
snap 1
sniff 1
so 2
some 1
something 2
soon 3
sow 1
special 2
spiders 1
spotted 1
squashed 1
squishy 1
stainin 1
start 1
starts 1
state 1
states 1
statue 1
stole 2
stop 2
stories 1
story 3
stuff 5
successful 1
suit 4
supposed 1
switches 2
take 1
task 1
tasked 1
tastes 1
that 12
the 73
their 1
them 1
then 8
there 2
they 7
thinking 1
third 1
this 3
time 6
tinkletrousers 2
tippy 13
to 32
too 2
trained 1
transported 1
traveling 1
travels 2
trying 1
turn 1
two 1
underpants 5
undo 3
universe 1
unplugged 1
unsuccessfully 1
until 3
up 2
used 1
vacuum 3
very 3
via 1
victory 1
voodoo 1
want 1
wanting 1
warden 1
was 9
way 5
ways 1
we 1
weakness 1
wedgie 8
wedgies 2
weird 2
went 1
were 2
what 2
when 6
where 2
which 3
while 2
who 6
whose 1
will 6
wine 1
with 8
words 1
work 1
world 1
years 2
you 4
your 3
zombie 2
