912029
/m/03p66w
/m/03p66w
John Irving
1972-12
{"/m/0488wh": "Literary fiction", "/m/05hgj": "Novel"}
17 1
a 18
abnormal 1
abnormally 1
abstinence 1
according 2
adolescent 1
after 2
akthelt 2
alcohol 1
alcoholic 1
allowing 1
an 2
analogously 1
ancient 1
and 15
around 2
as 7
at 3
attempting 1
austria 1
authored 1
bacteria 1
be 3
before 1
befriends 1
beginning 1
best 1
biggie 4
blend 1
bogus 2
both 1
buveur 1
by 1
called 1
can 1
canal 1
central 1
championship 1
change 1
chapter 1
characters 4
chiefly 1
childhood 2
claude 1
colm 1
comedy 1
comical 1
commitment 1
comparative 1
confession 1
consists 1
consuming 1
courts 1
couth 1
cowardice 1
day 1
deau 1
dedie 1
demonstrating 1
develop 1
development 1
diabetic 1
disorder 1
disorders 1
dissertation 1
documentary 2
downhill 1
dr 1
du 1
early170s 1
earn 1
editor 2
employs 2
end 1
england 1
epic 1
experiences 1
failures 1
fashioning 1
female 2
film 1
filmmaker 1
first 1
flashbacks 1
floundering 1
flush 1
follows 1
for 6
foreign 1
form 1
former 1
fred 1
friend 1
frlpope 1
from 4
fun 1
function 1
garp 1
generally 1
geschichte 1
girlfriend 1
graduate 3
gunnel 2
he 1
him 2
himself 2
his 13
honesty 1
humorously 1
i 1
impregnates 1
in 10
include 1
independent 1
inventing 1
iowa 2
irving 3
is 4
issues 1
it 1
its 1
jean 1
kunft 1
lack 1
lands 1
latetwentysomething 1
leading 1
life 2
literature 1
livein 1
loon 1
losing 1
love 1
low 1
ltvandens 1
markers 1
marriage 1
marries 1
meanders 1
means 2
merciless 1
merrill 1
method 3
metodas 1
mishaps 2
mistakes 1
more 1
narration 1
narrative 1
narrator 1
narrow 1
new 3
nickname 1
nonlinear 1
nonspecific 1
norse 1
novel 4
novels 1
of 16
offers 1
often 1
old 1
on 1
one 1
operation 1
options 1
opts 1
or 1
other 1
out 1
overturf 1
own 1
packer 1
painful 1
particularly 1
past 1
pathos 1
penchant 1
phrase 1
plmetoda 1
poem 2
poke 1
popularly 1
prescribed 1
present 1
presentaction 1
pretentious 1
primary 1
quantities 1
quirky 1
ralph 1
recounts 1
refers 1
regarded 1
relating 1
relationships 2
repeat 1
revolves 1
revolving 1
says 1
seems 1
seen 1
selfdiscipline 1
serious 1
setting 1
sever 1
sex 2
shows 1
simply 1
skier 1
son 1
sort 1
sound 1
still 1
stillphotographer 1
story 1
strong 2
student 4
study 1
successful 1
sue 1
suggesting 1
tendency 1
that 1
the 25
theme 1
though 1
three 1
through 3
title 1
to 16
tract 2
translation 1
treatment 2
trumper 17
tulpen 2
two 2
university 1
up 1
urinary 3
urological 1
urologist 1
various 1
vienna 3
vigneron 1
vom 1
want 1
wassertrinker 1
water 3
well 1
where 2
which 1
while 1
who 2
whom 1
whose 1
widen 1
wilde 1
with 2
wodna 1
women 1
world 1
york 2
young 1
