4684897
/m/0ch770
/m/0ch770
Terry Brooks
2006-08-29
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 21
abandon 1
able 1
about 1
act 1
after 3
ago 1
agrees 1
ailie 1
also 1
although 1
amaneh 1
american 1
an 1
and 24
angel 3
another 1
arborlon 1
are 6
army 1
arriving 1
as 6
at 2
attacked 1
away 2
back 1
barrier 1
battle 1
be 4
beast 1
because 1
been 1
behaves 1
believes 1
bones 4
breaking 1
bring 1
but 5
by 12
called 1
can 1
captured 1
cared 1
casting 1
cats 1
caught 1
centipede 1
change 1
charged 1
cheney 4
children 2
chosen 1
cintra 2
city 2
come 1
coming 2
competing 1
compound 6
compounds 1
confronted 1
confused 1
conquered 1
controlled 1
cousin 1
cradles 1
creature 1
daughter 1
death 3
deep 1
delloreen 2
demon 3
demons 2
destroyed 1
direction 1
do 1
does 1
doesnt 1
dog 2
downtown 1
dreams 1
elfstone 1
elfstones 2
elfstonewhich 1
ellcrys 5
else 1
elsewhere 2
elven 3
elves 2
emanating 1
encounter 1
entrance 1
erisha 2
escaping 1
eventually 1
everyone 1
existence 1
exists 1
faerie 1
far 1
felt 1
field 1
find 3
findo 2
finds 1
for 3
forbidden 1
forbidding 2
force 1
forced 1
forces 1
forever 1
fortresslike 1
freemark 2
from 6
fulfill 1
gain 1
gang 1
gask 2
ghost 2
ghosts 3
giant 1
girl 2
give 2
goes 1
grandfathera 1
group 3
grudgingly 1
guardians 1
guards 2
guide 1
gypsy 5
had 2
hand 1
has 3
have 1
hawk 11
he 12
head 1
healed 1
henchwoman 1
her 3
herself 1
hidden 1
hide 1
hideout 3
him 4
his 7
homeless 1
hordes 1
how 1
humans 1
identified 1
in 14
incoherent 1
information 1
instantly 1
instructed 1
into 5
invasion 1
is 22
it 1
just 2
keeps 1
king 2
kingdom 1
kirisin 2
knight 1
knights 1
know 1
known 1
knows 1
land 1
large 1
largest 1
later 1
law 2
leader 1
leads 1
left 1
library 1
lies 1
life 2
linchpin 1
locate 1
loden 2
logan 5
long 1
mad 1
magic 1
magical 1
man 2
meanwhile 1
medical 1
meet 1
men 1
message 1
messenger 1
meteorlogical 1
monsters 1
more 1
morph 5
mortally 1
mother 1
multitalented 1
must 2
mutant 1
mysteriously 1
named 2
narrowly 1
native 1
nearby 1
nest 3
new 1
north 1
not 1
now 1
nuclear 1
ocean 1
of 22
one 1
oolish 1
oregon 1
other 2
out 5
overrun 1
owl 1
part 1
perez 1
plague 2
planet 1
point 1
preparing 1
promised 1
prophetic 1
protected 1
protection 1
pursued 1
ramblings 1
ravaged 1
reaches 1
realize 2
recalls 1
refuses 1
remaining 2
rescuing 1
resembling 1
resides 1
rest 1
restored 1
right 1
river 1
ruins 2
ruled 1
safeco 3
save 1
sealed 1
sealing 1
seattle 3
secretly 2
seek 1
seeking 1
sees 2
selected 1
sentenced 1
sentencinghawk 1
sentient 1
servant 1
sets 1
she 2
shows 1
sick 1
sneak 1
sneaks 1
soon 1
south 1
sparrow 2
specially 1
still 1
story 1
supplies 1
supposed 1
suspiciously 1
take 1
tatterdemalion 1
teenaged 1
telepathically 1
tell 1
tells 3
tessa 5
that 10
the 75
their 1
them 2
then 1
there 1
these 1
they 5
though 1
three 1
thrown 1
tightly 1
time 1
to 23
together 1
told 1
tom 1
top 1
tracks 1
trade 1
transport 1
tree 3
tribes 1
try 1
turns 1
two 2
unable 1
unaware 1
unfortunately 1
use 1
using 1
vision 1
visit 1
visiting 1
war 1
was 1
weatherman 1
well 1
what 2
when 2
which 1
while 1
who 4
whom 1
will 2
with 3
within 1
woods 1
word 3
world 4
wounded 1
young 1
