26215558
/m/0b73_pc
/m/0b73_pc
Margaret Haddix


a 18
abandoning 1
about 3
accidentally 1
accompanying 1
after 4
all 2
allow 1
also 1
although 1
an 1
and 19
another 1
anything 1
are 3
as 3
asking 2
asks 3
at 4
attempts 1
aunt 1
aware 1
away 1
babies 1
baby 1
back 3
be 1
because 1
become 1
been 1
before 1
begrudgingly 1
believing 1
best 1
bethany 35
birth 2
book 1
but 4
by 1
call 1
calls 3
can 1
car 4
cards 1
cash 1
cells 1
certificates 1
chance 1
change 1
children 1
clone 6
cloned 1
clothes 1
cole 1
come 1
comes 4
confronts 1
correctly 1
county 1
crash 2
create 1
created 1
creating 1
dad 1
dalton 3
daughter 2
day 3
days 2
dead 1
died 2
different 1
doesnt 1
dollars 1
downstairs 2
drive 1
drives 1
driving 1
dyne 2
early 1
eat 1
elizabeth 19
elizabethbethany 1
elizabeths 1
embryos 1
encounters 1
ends 1
enough 1
entire 1
environment 1
epilogue 1
even 1
exactly 1
except 1
explains 2
explanation 1
extreme 1
eye 1
fair 2
falls 1
family 1
father 2
favorite 1
felt 2
few 2
find 1
finishes 1
first 3
foods 1
for 9
forged 1
formerly 1
four 2
friend 1
friends 1
from 4
gave 1
ginkgo 1
give 1
go 1
grabs 1
grandchildren 1
guesses 1
had 1
halloween 1
has 1
have 2
he 4
hears 1
her 25
herself 1
hillary 6
him 3
home 2
honor 1
hours 1
house 3
identical 1
identified 1
if 1
illinois 1
implanted 1
in 8
injuring 1
instead 1
interest 1
into 5
introduced 1
is 11
it 3
joss 8
kitchen 1
know 2
knows 1
later 3
leaving 1
left 1
life 1
like 1
likes 1
living 2
load 1
long 1
looks 1
love 1
made 1
make 1
man 2
mentions 1
met 1
midnight 1
mistakes 1
money 1
morning 1
mother 2
much 1
myrlie 17
mysterious 2
name 1
never 2
next 5
normal 1
not 1
note 1
notices 1
noting 1
of 12
offers 1
old 1
on 3
one 3
only 1
over 1
overhears 2
package 1
panicked 1
parents 5
permission 1
person 1
phone 3
pie 1
planted 1
planting 1
play 1
presence 1
promised 1
put 1
raised 1
reach 1
reader 1
realizes 4
really 1
reasons 1
reassure 1
receives 1
replicate 1
resemblance 1
responsible 1
retreats 1
revealed 1
ride 1
room 1
same 3
sanderfield 2
save 1
say 1
says 1
scar 1
see 1
sees 1
self 1
settles 1
several 1
she 19
shows 1
similar 1
sister 1
small 1
so 2
some 1
soon 3
spark 1
states 1
storms 1
strange 1
surrogates 2
survived 1
swim 1
swimmer 1
takes 2
talk 2
talking 1
talks 1
tell 2
tells 4
ten 1
that 17
the 32
their 5
them 2
then 2
there 1
they 9
things 1
thinking 1
thirteen 1
this 3
thought 1
thousand 1
three 3
time 1
times 1
to 26
too 1
town 1
toys 1
trace 1
tragic 1
trees 1
tries 1
trips 1
try 1
under 1
until 1
upstairs 1
used 1
van 2
very 2
videos 1
walter 8
wants 2
was 5
watch 1
way 1
well 1
were 1
when 9
where 3
which 1
while 3
who 4
whom 1
why 1
wilkers 1
with 5
without 1
wondering 1
would 4
wouldnt 1
ymca 1
